stress_level,method,mean_mean_success,mean_mean_mechanism_f1,mean_mean_invalid_repair_rate,mean_mean_repeat_failure_rate,mean_mean_damage_rate,mean_mean_diagnostic_probe_cost,mean_mean_calibration_error,mean_mean_abstention_rate,mean_mean_budget_violation_rate,mean_mean_predicted_breach_risk,mean_mean_realized_breach_risk,mean_mean_repair_utility,ci95_mean_success,ci95_mean_mechanism_f1,ci95_mean_invalid_repair_rate,ci95_mean_repeat_failure_rate,ci95_mean_damage_rate,ci95_mean_diagnostic_probe_cost,ci95_mean_calibration_error,ci95_mean_abstention_rate,ci95_mean_budget_violation_rate,ci95_mean_predicted_breach_risk,ci95_mean_realized_breach_risk,ci95_mean_repair_utility,rows
0.000000,active_probe_planner,0.601562,0.527186,0.201816,0.194784,0.083821,0.310074,0.079124,0.114979,0.161532,0.187935,0.169919,0.093066,0.015331,0.000256,0.000210,0.000131,0.000116,0.000111,0.000098,0.000147,0.000141,0.000151,0.000204,0.015439,10
0.000000,conformal_risk_filter,0.497135,0.374382,0.242629,0.243319,0.089839,0.209553,0.083928,0.215546,0.163117,0.208645,0.171295,-0.138605,0.010746,0.000212,0.000201,0.000152,0.000093,0.000118,0.000083,0.000136,0.000103,0.000090,0.000134,0.010771,10
0.000000,counterfactual_mechanism_audit_v5,0.801302,0.705700,0.104718,0.094973,0.053249,0.194704,0.045416,0.144989,0.050827,0.091861,0.043805,0.670446,0.009716,0.000414,0.000131,0.000142,0.000083,0.000102,0.000085,0.000107,0.000125,0.000144,0.000125,0.009680,10
0.000000,oracle_mechanism_repair,0.933854,0.822777,0.053854,0.045802,0.030733,0.153954,0.026247,0.078263,0.002589,0.049410,0.000039,1.018388,0.008272,0.000332,0.000219,0.000159,0.000097,0.000131,0.000099,0.000106,0.000088,0.000136,0.000010,0.008429,10
0.000000,proposed_failed_rollout_audit_v4_1,0.715885,0.620484,0.145462,0.133497,0.066107,0.233650,0.064946,0.126943,0.105746,0.137092,0.107003,0.421253,0.012256,0.000364,0.000179,0.000179,0.000110,0.000109,0.000091,0.000118,0.000144,0.000191,0.000187,0.012346,10
0.000000,scalar_uncertainty_planner,0.426563,0.299255,0.293861,0.279052,0.106691,0.151206,0.113799,0.126258,0.219466,0.247561,0.235937,-0.344251,0.010259,0.000302,0.000177,0.000168,0.000100,0.000090,0.000089,0.000077,0.000119,0.000155,0.000185,0.010377,10
0.166667,active_probe_planner,0.601302,0.523531,0.204436,0.197476,0.084418,0.311221,0.079874,0.116472,0.162861,0.189738,0.171298,0.084527,0.009787,0.000327,0.000084,0.000081,0.000100,0.000104,0.000099,0.000109,0.000085,0.000170,0.000138,0.009715,10
0.166667,conformal_risk_filter,0.478385,0.369948,0.245420,0.246139,0.090404,0.210683,0.084760,0.218140,0.164383,0.210263,0.172675,-0.166340,0.017567,0.000420,0.000166,0.000229,0.000133,0.000157,0.000104,0.000134,0.000085,0.000107,0.000098,0.017661,10
0.166667,counterfactual_mechanism_audit_v5,0.804948,0.703007,0.106783,0.096970,0.053682,0.195148,0.045961,0.146702,0.051647,0.092988,0.044683,0.667969,0.010107,0.000364,0.000084,0.000160,0.000087,0.000190,0.000071,0.000119,0.000133,0.000180,0.000133,0.010204,10
0.166667,oracle_mechanism_repair,0.929167,0.820845,0.055360,0.047516,0.031128,0.154510,0.026725,0.079128,0.002852,0.050024,0.000056,1.009140,0.007639,0.000343,0.000186,0.000160,0.000100,0.000085,0.000118,0.000064,0.000100,0.000106,0.000020,0.007595,10
0.166667,proposed_failed_rollout_audit_v4_1,0.701823,0.617564,0.147719,0.135827,0.066657,0.234325,0.065511,0.128576,0.106609,0.138373,0.107930,0.400341,0.011343,0.000233,0.000206,0.000166,0.000062,0.000177,0.000090,0.000091,0.000139,0.000158,0.000136,0.011308,10
0.166667,scalar_uncertainty_planner,0.406771,0.294354,0.296950,0.282385,0.107566,0.152058,0.114856,0.127999,0.221051,0.249486,0.237779,-0.374260,0.010427,0.000316,0.000127,0.000134,0.000107,0.000134,0.000082,0.000139,0.000091,0.000138,0.000188,0.010478,10
0.333333,active_probe_planner,0.581510,0.519626,0.207101,0.200305,0.085110,0.312455,0.080741,0.118005,0.164286,0.191547,0.172911,0.055967,0.013928,0.000447,0.000177,0.000140,0.000128,0.000174,0.000119,0.000149,0.000172,0.000171,0.000245,0.013899,10
0.333333,conformal_risk_filter,0.486458,0.364757,0.248196,0.249184,0.091177,0.211560,0.085530,0.220845,0.165849,0.212050,0.174231,-0.167931,0.016065,0.000301,0.000109,0.000162,0.000124,0.000131,0.000090,0.000122,0.000103,0.000182,0.000124,0.016082,10
0.333333,counterfactual_mechanism_audit_v5,0.817708,0.699869,0.108977,0.099096,0.054163,0.195702,0.046412,0.148317,0.052403,0.093945,0.045530,0.674265,0.009714,0.000238,0.000204,0.000167,0.000109,0.000077,0.000098,0.000123,0.000139,0.000208,0.000154,0.009633,10
0.333333,oracle_mechanism_repair,0.934115,0.818421,0.057039,0.049273,0.031476,0.154853,0.027113,0.079960,0.003076,0.050438,0.000049,1.009362,0.007099,0.000188,0.000164,0.000127,0.000079,0.000134,0.000114,0.000168,0.000082,0.000154,0.000012,0.007116,10
0.333333,proposed_failed_rollout_audit_v4_1,0.697917,0.613953,0.149815,0.138180,0.067210,0.235214,0.066251,0.130013,0.107705,0.139680,0.109257,0.389207,0.012150,0.000186,0.000154,0.000168,0.000110,0.000122,0.000050,0.000121,0.000079,0.000176,0.000093,0.012267,10
0.333333,scalar_uncertainty_planner,0.405469,0.288972,0.300397,0.285836,0.108394,0.152569,0.115998,0.129755,0.222949,0.251921,0.239757,-0.386460,0.013591,0.000283,0.000162,0.000163,0.000106,0.000125,0.000119,0.000037,0.000121,0.000182,0.000128,0.013670,10
