stress_level,method,mean_mean_success,mean_mean_mechanism_f1,mean_mean_invalid_repair_rate,mean_mean_repeat_failure_rate,mean_mean_damage_rate,mean_mean_diagnostic_probe_cost,mean_mean_calibration_error,mean_mean_abstention_rate,mean_mean_budget_violation_rate,mean_mean_predicted_breach_risk,mean_mean_realized_breach_risk,mean_mean_repair_utility,ci95_mean_success,ci95_mean_mechanism_f1,ci95_mean_invalid_repair_rate,ci95_mean_repeat_failure_rate,ci95_mean_damage_rate,ci95_mean_diagnostic_probe_cost,ci95_mean_calibration_error,ci95_mean_abstention_rate,ci95_mean_budget_violation_rate,ci95_mean_predicted_breach_risk,ci95_mean_realized_breach_risk,ci95_mean_repair_utility,rows
0.500000,active_probe_planner,0.591667,0.511898,0.210015,0.203442,0.085828,0.314163,0.081641,0.119878,0.165900,0.193501,0.174629,0.055208,0.011177,0.000342,0.000140,0.000194,0.000061,0.000139,0.000113,0.000125,0.000108,0.000093,0.000132,0.011457,10
0.500000,conformal_risk_filter,0.465365,0.354943,0.251620,0.252721,0.092103,0.212910,0.086594,0.224293,0.167668,0.214354,0.176259,-0.202075,0.019900,0.000217,0.000103,0.000152,0.000086,0.000120,0.000103,0.000136,0.000174,0.000201,0.000216,0.019970,10
0.500000,counterfactual_mechanism_audit_v5,0.798698,0.696175,0.111042,0.101448,0.054738,0.196717,0.047011,0.150559,0.053354,0.095254,0.046507,0.647975,0.012596,0.000232,0.000190,0.000206,0.000101,0.000098,0.000073,0.000119,0.000084,0.000129,0.000132,0.012693,10
0.500000,oracle_mechanism_repair,0.938021,0.816507,0.058774,0.051149,0.031789,0.155357,0.027710,0.081054,0.003232,0.050972,0.000064,1.008436,0.006924,0.000343,0.000172,0.000200,0.000133,0.000098,0.000066,0.000098,0.000098,0.000134,0.000016,0.006896,10
0.500000,proposed_failed_rollout_audit_v4_1,0.698958,0.608349,0.152547,0.140615,0.067785,0.236422,0.067130,0.132003,0.108972,0.141349,0.110634,0.381281,0.014620,0.000289,0.000133,0.000114,0.000101,0.000171,0.000071,0.000169,0.000177,0.000171,0.000242,0.014641,10
0.500000,scalar_uncertainty_planner,0.369792,0.278243,0.304503,0.289778,0.109524,0.153662,0.117358,0.131936,0.225374,0.254745,0.242394,-0.436873,0.021291,0.000381,0.000073,0.000157,0.000061,0.000096,0.000057,0.000148,0.000098,0.000130,0.000135,0.021303,10
0.666667,active_probe_planner,0.568750,0.498164,0.214225,0.207870,0.086868,0.316853,0.083093,0.122520,0.168750,0.196840,0.177646,0.015258,0.020120,0.000280,0.000163,0.000188,0.000068,0.000076,0.000085,0.000090,0.000161,0.000221,0.000151,0.020247,10
0.666667,conformal_risk_filter,0.440885,0.335548,0.256285,0.257835,0.093366,0.215214,0.088120,0.229673,0.170417,0.217648,0.179329,-0.247106,0.008371,0.000316,0.000116,0.000175,0.000119,0.000176,0.000058,0.000159,0.000159,0.000202,0.000226,0.008377,10
0.666667,counterfactual_mechanism_audit_v5,0.797135,0.690122,0.113557,0.104325,0.055470,0.197950,0.047752,0.153824,0.054692,0.096944,0.047944,0.636748,0.010193,0.000329,0.000179,0.000152,0.000102,0.000153,0.000065,0.000143,0.000102,0.000160,0.000157,0.010228,10
0.666667,oracle_mechanism_repair,0.935417,0.814287,0.060459,0.053240,0.032160,0.156240,0.028144,0.082476,0.003777,0.051783,0.000069,1.000374,0.004978,0.000367,0.000076,0.000230,0.000080,0.000133,0.000109,0.000078,0.000103,0.000097,0.000012,0.005116,10
0.666667,proposed_failed_rollout_audit_v4_1,0.684635,0.599310,0.155729,0.144429,0.068707,0.238292,0.068187,0.134820,0.110981,0.143746,0.112883,0.354033,0.009992,0.000240,0.000147,0.000203,0.000101,0.000135,0.000074,0.000085,0.000096,0.000123,0.000161,0.010044,10
0.666667,scalar_uncertainty_planner,0.351562,0.258263,0.310087,0.295757,0.111119,0.155415,0.119414,0.135050,0.229014,0.259167,0.246447,-0.477960,0.017351,0.000165,0.000164,0.000140,0.000073,0.000095,0.000143,0.000112,0.000117,0.000095,0.000166,0.017313,10
0.833333,active_probe_planner,0.545573,0.482410,0.218657,0.212630,0.088223,0.320003,0.084502,0.125650,0.171774,0.200315,0.180924,-0.026755,0.010659,0.000360,0.000115,0.000134,0.000098,0.000134,0.000055,0.000100,0.000087,0.000106,0.000131,0.010712,10
0.833333,conformal_risk_filter,0.416927,0.313860,0.261315,0.263148,0.094836,0.217554,0.089507,0.235561,0.173610,0.221165,0.182772,-0.293425,0.013012,0.000265,0.000109,0.000175,0.000088,0.000124,0.000083,0.000147,0.000118,0.000171,0.000134,0.012987,10
0.833333,counterfactual_mechanism_audit_v5,0.786719,0.683320,0.116640,0.107592,0.056216,0.199374,0.048622,0.157092,0.056213,0.098908,0.049699,0.615326,0.009208,0.000361,0.000127,0.000161,0.000078,0.000191,0.000097,0.000103,0.000104,0.000173,0.000140,0.009108,10
0.833333,oracle_mechanism_repair,0.927865,0.812638,0.062457,0.055247,0.032558,0.157224,0.028657,0.083835,0.004444,0.052513,0.000114,0.987169,0.007724,0.000298,0.000229,0.000109,0.000095,0.000124,0.000095,0.000097,0.000071,0.000082,0.000030,0.007687,10
0.833333,proposed_failed_rollout_audit_v4_1,0.666667,0.588277,0.159359,0.147968,0.069659,0.240377,0.069335,0.137887,0.113252,0.146469,0.115240,0.321900,0.017250,0.000323,0.000188,0.000159,0.000083,0.000134,0.000099,0.000123,0.000141,0.000187,0.000173,0.017367,10
0.833333,scalar_uncertainty_planner,0.317969,0.234413,0.316267,0.301900,0.112969,0.157307,0.121570,0.138490,0.233339,0.263927,0.251065,-0.537271,0.014958,0.000321,0.000121,0.000091,0.000110,0.000143,0.000122,0.000128,0.000094,0.000184,0.000133,0.014930,10
1.000000,active_probe_planner,0.525000,0.465258,0.223183,0.217582,0.089550,0.323318,0.085811,0.128503,0.174999,0.203856,0.184476,-0.066915,0.011444,0.000218,0.000075,0.000134,0.000069,0.000129,0.000083,0.000090,0.000157,0.000206,0.000185,0.011591,10
1.000000,conformal_risk_filter,0.396094,0.289754,0.266384,0.268610,0.096189,0.220256,0.091000,0.241535,0.177066,0.225015,0.186369,-0.337823,0.015914,0.000331,0.000178,0.000137,0.000070,0.000071,0.000064,0.000126,0.000057,0.000067,0.000111,0.015837,10
1.000000,counterfactual_mechanism_audit_v5,0.790625,0.676547,0.119617,0.110776,0.057078,0.200951,0.049249,0.160564,0.057681,0.100491,0.051208,0.608359,0.011162,0.000344,0.000221,0.000092,0.000078,0.000112,0.000128,0.000163,0.000134,0.000169,0.000140,0.011206,10
1.000000,oracle_mechanism_repair,0.929948,0.810454,0.064479,0.057444,0.033041,0.158233,0.029113,0.085143,0.005041,0.053389,0.000170,0.983237,0.007473,0.000389,0.000165,0.000137,0.000116,0.000122,0.000108,0.000145,0.000107,0.000184,0.000022,0.007393,10
1.000000,proposed_failed_rollout_audit_v4_1,0.646615,0.577300,0.162999,0.151896,0.070681,0.242490,0.070452,0.140878,0.115666,0.149089,0.117778,0.287250,0.013739,0.000394,0.000086,0.000162,0.000135,0.000126,0.000070,0.000128,0.000078,0.000130,0.000131,0.013702,10
1.000000,scalar_uncertainty_planner,0.281771,0.209006,0.322669,0.308270,0.114803,0.159209,0.123730,0.141862,0.237783,0.269004,0.255844,-0.600148,0.017580,0.000268,0.000077,0.000138,0.000047,0.000173,0.000084,0.000120,0.000176,0.000194,0.000184,0.017661,10
