budget,baseline,coverage_delta,breach_delta,gated_success_delta,gated_utility_delta
0.050000,scalar_uncertainty_planner,0.000000,0.000000,0.000000,0.000000
0.050000,conformal_risk_filter,0.000000,0.000000,0.000000,0.000000
0.050000,active_probe_planner,0.000000,0.000000,0.000000,0.000000
0.050000,causal_query_repair,0.000000,0.000000,0.000000,0.000000
0.050000,proposed_failed_rollout_audit_v4_1,0.000000,0.000000,0.000000,0.000000
0.050000,oracle_mechanism_repair,-0.332292,0.000000,-0.923859,-1.993231
0.100000,scalar_uncertainty_planner,0.625521,0.000000,0.789120,1.628500
0.100000,conformal_risk_filter,0.625521,0.000000,0.789120,1.628500
0.100000,active_probe_planner,0.625521,0.000000,0.789120,1.628500
0.100000,causal_query_repair,0.625521,0.000000,0.789120,1.628500
0.100000,proposed_failed_rollout_audit_v4_1,0.625521,0.000000,0.789120,1.628500
0.100000,oracle_mechanism_repair,-0.374479,0.000000,-0.145255,-0.367722
0.150000,scalar_uncertainty_planner,1.000000,0.000000,0.789844,1.623726
0.150000,conformal_risk_filter,1.000000,0.000000,0.789844,1.623726
0.150000,active_probe_planner,1.000000,0.000000,0.789844,1.623726
0.150000,causal_query_repair,1.000000,0.000000,0.789844,1.623726
0.150000,proposed_failed_rollout_audit_v4_1,0.220052,0.000000,0.103125,0.270989
0.150000,oracle_mechanism_repair,0.000000,0.000000,-0.144531,-0.372496
0.200000,scalar_uncertainty_planner,1.000000,0.000000,0.789844,1.623726
0.200000,conformal_risk_filter,0.994792,0.000000,0.474844,0.979018
0.200000,active_probe_planner,0.424219,0.000000,0.238756,0.625894
0.200000,causal_query_repair,0.009896,0.000000,0.203256,0.530505
0.200000,proposed_failed_rollout_audit_v4_1,0.000000,0.000000,0.110417,0.282286
0.200000,oracle_mechanism_repair,0.000000,0.000000,-0.144531,-0.372496
