method,task,regime,mean_success_rate,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,ci95_success_rate,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,groups
active_probe_planner,cluttered_navigation_grasp,actuator_lag,0.625000,0.527319,0.217043,0.208997,0.084142,0.320641,0.078175,0.038498,0.007682,0.003767,0.001420,0.003080,0.002320,0.001882,7
active_probe_planner,cluttered_navigation_grasp,combined_hidden_mechanisms,0.563492,0.489026,0.244468,0.235230,0.093068,0.340726,0.092091,0.037971,0.010518,0.002683,0.004022,0.001522,0.002607,0.002114,7
active_probe_planner,cluttered_navigation_grasp,compliance_shift,0.589286,0.528753,0.212825,0.205784,0.080854,0.314224,0.080834,0.029617,0.007311,0.004249,0.003289,0.001485,0.003176,0.002272,7
active_probe_planner,cluttered_navigation_grasp,contact_mode_flip,0.585317,0.525350,0.223998,0.217158,0.085152,0.319927,0.082346,0.030539,0.012438,0.002800,0.003379,0.002082,0.001591,0.001906,7
active_probe_planner,cluttered_navigation_grasp,friction_shift,0.648810,0.536012,0.206596,0.201517,0.079236,0.315018,0.077104,0.026376,0.009967,0.003159,0.005619,0.001907,0.001935,0.002469,7
active_probe_planner,cluttered_navigation_grasp,nominal,0.670635,0.574934,0.188276,0.181186,0.072080,0.296661,0.068402,0.044736,0.006290,0.003279,0.002187,0.002038,0.003151,0.002328,7
active_probe_planner,cluttered_navigation_grasp,occlusion_persistence,0.626984,0.533448,0.215213,0.211242,0.084914,0.319093,0.081618,0.043013,0.002927,0.002712,0.003059,0.002858,0.001539,0.001782,7
active_probe_planner,cluttered_navigation_grasp,payload_shift,0.626984,0.514649,0.223694,0.216623,0.087846,0.323331,0.082807,0.054905,0.006159,0.002786,0.004459,0.001362,0.004080,0.001247,7
active_probe_planner,deformable_bin_pick,actuator_lag,0.575397,0.523096,0.219231,0.212264,0.084600,0.321336,0.080509,0.061979,0.005741,0.002829,0.002609,0.001914,0.001410,0.001683,7
active_probe_planner,deformable_bin_pick,combined_hidden_mechanisms,0.581349,0.488248,0.242095,0.236213,0.093344,0.339410,0.092166,0.047682,0.005418,0.004935,0.004304,0.001931,0.002736,0.002400,7
active_probe_planner,deformable_bin_pick,compliance_shift,0.607143,0.528987,0.211251,0.207651,0.083257,0.316142,0.080259,0.051690,0.002274,0.004260,0.001951,0.002713,0.003747,0.001606,7
active_probe_planner,deformable_bin_pick,contact_mode_flip,0.547619,0.518310,0.223697,0.216160,0.086629,0.322159,0.081007,0.029015,0.004662,0.004278,0.003214,0.002951,0.001597,0.001743,7
active_probe_planner,deformable_bin_pick,friction_shift,0.628968,0.541295,0.206702,0.201074,0.080238,0.314514,0.077710,0.054997,0.007366,0.002718,0.004856,0.001803,0.003626,0.002924,7
