method,task,regime,mean_success_rate,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,ci95_success_rate,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,groups
active_probe_planner,deformable_bin_pick,nominal,0.664683,0.565215,0.187024,0.178602,0.073188,0.298152,0.070502,0.060995,0.008153,0.004325,0.003110,0.001849,0.002369,0.002415,7
active_probe_planner,deformable_bin_pick,occlusion_persistence,0.605159,0.528612,0.215308,0.206147,0.084630,0.318019,0.077839,0.036064,0.007191,0.002817,0.004803,0.001700,0.003825,0.001591,7
active_probe_planner,deformable_bin_pick,payload_shift,0.593254,0.509438,0.225914,0.216537,0.084911,0.322660,0.082297,0.037436,0.008104,0.003153,0.004714,0.002223,0.001505,0.003758,7
active_probe_planner,drawer_contact_repair,actuator_lag,0.613095,0.538859,0.210921,0.205507,0.082299,0.319951,0.080857,0.026184,0.004696,0.003022,0.004148,0.002524,0.001930,0.001505,7
active_probe_planner,drawer_contact_repair,combined_hidden_mechanisms,0.567460,0.493818,0.239103,0.228699,0.093887,0.335819,0.092079,0.031111,0.008209,0.002802,0.005466,0.002567,0.002821,0.002096,7
active_probe_planner,drawer_contact_repair,compliance_shift,0.619048,0.541764,0.207577,0.201074,0.080744,0.319952,0.079549,0.054398,0.005405,0.003072,0.002031,0.003115,0.003385,0.002594,7
active_probe_planner,drawer_contact_repair,contact_mode_flip,0.593254,0.526214,0.216329,0.210443,0.085017,0.322808,0.082313,0.025698,0.005969,0.003269,0.003468,0.001913,0.003547,0.002045,7
active_probe_planner,drawer_contact_repair,friction_shift,0.623016,0.552472,0.202911,0.197533,0.077480,0.312993,0.078656,0.040039,0.007070,0.004129,0.004393,0.003810,0.002913,0.002155,7
active_probe_planner,drawer_contact_repair,nominal,0.682540,0.580769,0.181272,0.175460,0.071691,0.300246,0.067785,0.040910,0.007421,0.003252,0.002630,0.002493,0.003082,0.001749,7
active_probe_planner,drawer_contact_repair,occlusion_persistence,0.654762,0.534934,0.210119,0.200521,0.081447,0.316335,0.079986,0.029360,0.010347,0.003398,0.004728,0.002365,0.002562,0.001606,7
active_probe_planner,drawer_contact_repair,payload_shift,0.605159,0.529309,0.216513,0.211715,0.083086,0.326292,0.083775,0.038433,0.004483,0.003426,0.003408,0.001556,0.002049,0.002629,7
active_probe_planner,occluded_push_recovery,actuator_lag,0.603175,0.527837,0.216337,0.210198,0.083363,0.319744,0.080709,0.063107,0.004022,0.002457,0.005112,0.002822,0.004358,0.002837,7
active_probe_planner,occluded_push_recovery,combined_hidden_mechanisms,0.551587,0.486163,0.241295,0.233212,0.094471,0.338929,0.091685,0.050306,0.005106,0.002374,0.003295,0.001979,0.002984,0.002264,7
active_probe_planner,occluded_push_recovery,compliance_shift,0.613095,0.534448,0.211402,0.206899,0.080748,0.318438,0.081181,0.048050,0.007194,0.003744,0.003848,0.002223,0.003039,0.004000,7
active_probe_planner,occluded_push_recovery,contact_mode_flip,0.593254,0.521295,0.218708,0.212702,0.083972,0.320247,0.081556,0.033453,0.006066,0.003004,0.003887,0.002435,0.002608,0.002457,7
active_probe_planner,occluded_push_recovery,friction_shift,0.640873,0.539280,0.204958,0.201909,0.080697,0.313774,0.077417,0.032768,0.007238,0.003472,0.003053,0.002339,0.003475,0.002959,7
active_probe_planner,occluded_push_recovery,nominal,0.674603,0.573649,0.183252,0.179199,0.072875,0.299359,0.067962,0.031911,0.006913,0.002730,0.004699,0.001962,0.003048,0.002091,7
active_probe_planner,occluded_push_recovery,occlusion_persistence,0.605159,0.533726,0.215247,0.204228,0.083437,0.316235,0.081542,0.053746,0.008791,0.002421,0.001851,0.001547,0.002645,0.002190,7
active_probe_planner,occluded_push_recovery,payload_shift,0.529762,0.516859,0.223390,0.213053,0.085829,0.324696,0.086183,0.032768,0.008643,0.002840,0.003390,0.002734,0.002976,0.001821,7
active_probe_planner,payload_handover,actuator_lag,0.646825,0.529494,0.212987,0.208126,0.084180,0.319547,0.080290,0.019574,0.005981,0.003032,0.003345,0.002020,0.004544,0.002218,7
active_probe_planner,payload_handover,combined_hidden_mechanisms,0.559524,0.494551,0.240653,0.231997,0.092872,0.338533,0.093449,0.035000,0.005422,0.002958,0.002653,0.002438,0.002486,0.001453,7
active_probe_planner,payload_handover,compliance_shift,0.609127,0.533624,0.209452,0.204225,0.080196,0.316025,0.080497,0.049140,0.008875,0.005156,0.003541,0.002762,0.001713,0.001912,7
active_probe_planner,payload_handover,contact_mode_flip,0.609127,0.527258,0.220224,0.212751,0.084843,0.320795,0.083845,0.049140,0.003168,0.004465,0.002801,0.000896,0.002647,0.001928,7
active_probe_planner,payload_handover,friction_shift,0.626984,0.544090,0.206402,0.199944,0.081113,0.314864,0.078421,0.055861,0.004676,0.003982,0.002394,0.004816,0.002964,0.002378,7
active_probe_planner,payload_handover,nominal,0.690476,0.570616,0.182886,0.174755,0.071780,0.297612,0.068104,0.046287,0.006927,0.002351,0.002262,0.001992,0.002271,0.003021,7
active_probe_planner,payload_handover,occlusion_persistence,0.613095,0.535762,0.212904,0.203652,0.083330,0.318853,0.081524,0.065190,0.008314,0.003438,0.003882,0.001069,0.002557,0.001692,7
active_probe_planner,payload_handover,payload_shift,0.575397,0.525030,0.221075,0.215197,0.083493,0.326923,0.084682,0.037030,0.005305,0.004525,0.002520,0.001773,0.002686,0.001464,7
active_probe_planner,peg_insert_with_lag,actuator_lag,0.575397,0.524361,0.218061,0.214603,0.085529,0.320981,0.081379,0.045574,0.004584,0.004240,0.003847,0.002583,0.002939,0.001810,7
active_probe_planner,peg_insert_with_lag,combined_hidden_mechanisms,0.567460,0.481825,0.245114,0.241691,0.094645,0.336752,0.092897,0.048779,0.005478,0.001529,0.004974,0.003406,0.001883,0.001866,7
active_probe_planner,peg_insert_with_lag,compliance_shift,0.603175,0.529592,0.217637,0.206829,0.083849,0.314587,0.079030,0.029015,0.009709,0.002189,0.003125,0.001608,0.002326,0.001249,7
active_probe_planner,peg_insert_with_lag,contact_mode_flip,0.569444,0.516177,0.222710,0.215920,0.088072,0.321195,0.084164,0.045629,0.013643,0.002758,0.002603,0.002567,0.003301,0.001987,7
active_probe_planner,peg_insert_with_lag,friction_shift,0.623016,0.531345,0.210894,0.202527,0.081574,0.313888,0.078754,0.021769,0.004578,0.002790,0.003793,0.000871,0.003947,0.001479,7
active_probe_planner,peg_insert_with_lag,nominal,0.652778,0.565124,0.189917,0.184715,0.074623,0.299590,0.070633,0.018785,0.006684,0.002814,0.002761,0.001728,0.001642,0.002995,7
active_probe_planner,peg_insert_with_lag,occlusion_persistence,0.621032,0.528883,0.218489,0.208432,0.083886,0.320799,0.079662,0.036961,0.009123,0.003329,0.002413,0.002881,0.002783,0.002078,7
active_probe_planner,peg_insert_with_lag,payload_shift,0.561508,0.510869,0.224884,0.222277,0.087294,0.325955,0.082549,0.041522,0.007967,0.002159,0.001764,0.002493,0.003935,0.003051,7
conformal_risk_filter,cluttered_navigation_grasp,actuator_lag,0.517857,0.409017,0.248143,0.252778,0.089096,0.216629,0.089515,0.043537,0.005616,0.002077,0.003435,0.001045,0.002077,0.000961,7
conformal_risk_filter,cluttered_navigation_grasp,combined_hidden_mechanisms,0.458333,0.379191,0.276596,0.285973,0.103105,0.227012,0.102937,0.036134,0.010651,0.005627,0.003189,0.002068,0.004379,0.002287,7
conformal_risk_filter,cluttered_navigation_grasp,compliance_shift,0.531746,0.418084,0.240882,0.245717,0.089204,0.212204,0.088545,0.063624,0.007112,0.002944,0.002520,0.002877,0.003157,0.001737,7
conformal_risk_filter,cluttered_navigation_grasp,contact_mode_flip,0.509921,0.408873,0.250982,0.257720,0.090922,0.217290,0.091294,0.063346,0.005181,0.004251,0.002350,0.002198,0.002651,0.002551,7
conformal_risk_filter,cluttered_navigation_grasp,friction_shift,0.585317,0.421969,0.237496,0.246038,0.087402,0.210621,0.086430,0.028753,0.007170,0.006099,0.002574,0.002075,0.003632,0.001747,7
conformal_risk_filter,cluttered_navigation_grasp,nominal,0.628968,0.452941,0.213471,0.218878,0.077313,0.200437,0.073971,0.038824,0.009906,0.005142,0.003898,0.003360,0.002625,0.002318,7
conformal_risk_filter,cluttered_navigation_grasp,occlusion_persistence,0.541667,0.413867,0.242941,0.252077,0.091390,0.215439,0.088821,0.047893,0.008942,0.004173,0.003948,0.002687,0.002151,0.001463,7
conformal_risk_filter,cluttered_navigation_grasp,payload_shift,0.521825,0.403459,0.256101,0.258764,0.093978,0.218348,0.092914,0.058160,0.008612,0.003051,0.005680,0.001765,0.002825,0.002961,7
conformal_risk_filter,deformable_bin_pick,actuator_lag,0.571429,0.406458,0.249440,0.257429,0.090421,0.215835,0.089777,0.076865,0.011232,0.004190,0.001931,0.000538,0.002073,0.001530,7
conformal_risk_filter,deformable_bin_pick,combined_hidden_mechanisms,0.450397,0.370423,0.278506,0.283273,0.103888,0.228856,0.102746,0.029015,0.004965,0.003616,0.003401,0.002825,0.003296,0.002898,7
conformal_risk_filter,deformable_bin_pick,compliance_shift,0.537698,0.417839,0.245493,0.248858,0.087756,0.217546,0.088787,0.043537,0.006098,0.001764,0.002626,0.003803,0.002507,0.001883,7
conformal_risk_filter,deformable_bin_pick,contact_mode_flip,0.494048,0.405621,0.254481,0.257817,0.093150,0.217720,0.091945,0.047840,0.005666,0.003220,0.002038,0.002396,0.003180,0.002300,7
conformal_risk_filter,deformable_bin_pick,friction_shift,0.503968,0.426722,0.236101,0.242044,0.087398,0.210329,0.084133,0.033977,0.008388,0.002121,0.004193,0.002225,0.001337,0.002810,7
conformal_risk_filter,deformable_bin_pick,nominal,0.601190,0.449192,0.217578,0.219339,0.078306,0.198199,0.074426,0.037904,0.011370,0.003230,0.003416,0.001658,0.003088,0.001966,7
conformal_risk_filter,deformable_bin_pick,occlusion_persistence,0.583333,0.411307,0.245128,0.251824,0.089920,0.213219,0.088555,0.057594,0.010962,0.002562,0.002997,0.001644,0.002157,0.001058,7
conformal_risk_filter,deformable_bin_pick,payload_shift,0.527778,0.403175,0.254036,0.263533,0.094847,0.218943,0.092794,0.048624,0.009690,0.004835,0.001772,0.002089,0.003381,0.002029,7
conformal_risk_filter,drawer_contact_repair,actuator_lag,0.581349,0.424295,0.245503,0.247091,0.086979,0.214042,0.088968,0.046559,0.005908,0.003722,0.002513,0.002784,0.003495,0.002497,7
conformal_risk_filter,drawer_contact_repair,combined_hidden_mechanisms,0.505952,0.386793,0.272246,0.280610,0.100597,0.229208,0.103253,0.030207,0.003972,0.002739,0.005962,0.003125,0.004879,0.001829,7
conformal_risk_filter,drawer_contact_repair,compliance_shift,0.541667,0.425267,0.235639,0.243302,0.087152,0.215729,0.086135,0.071037,0.008838,0.004223,0.003589,0.001225,0.004112,0.001215,7
conformal_risk_filter,drawer_contact_repair,contact_mode_flip,0.543651,0.411829,0.247029,0.252831,0.091820,0.218399,0.091735,0.046559,0.009661,0.003669,0.004858,0.002288,0.003085,0.001345,7
conformal_risk_filter,drawer_contact_repair,friction_shift,0.593254,0.440420,0.230197,0.235941,0.083932,0.210209,0.085949,0.045129,0.005772,0.005296,0.003467,0.000945,0.003779,0.001779,7
conformal_risk_filter,drawer_contact_repair,nominal,0.621032,0.458136,0.206835,0.210661,0.077183,0.199532,0.072646,0.033977,0.007697,0.003638,0.001454,0.003939,0.003686,0.002693,7
conformal_risk_filter,drawer_contact_repair,occlusion_persistence,0.569444,0.423066,0.236706,0.246657,0.090448,0.212662,0.089051,0.050054,0.006667,0.003611,0.003501,0.001791,0.001825,0.003289,7
conformal_risk_filter,drawer_contact_repair,payload_shift,0.513889,0.411972,0.250472,0.254570,0.094205,0.222010,0.094395,0.026566,0.017422,0.003746,0.002706,0.001888,0.002752,0.001531,7
conformal_risk_filter,occluded_push_recovery,actuator_lag,0.492063,0.408726,0.244143,0.253103,0.091588,0.219013,0.091234,0.039340,0.008296,0.002387,0.003058,0.002119,0.003846,0.002185,7
conformal_risk_filter,occluded_push_recovery,combined_hidden_mechanisms,0.468254,0.377068,0.274836,0.280858,0.100345,0.229900,0.102021,0.050306,0.004194,0.003518,0.004038,0.001370,0.002809,0.002826,7
conformal_risk_filter,occluded_push_recovery,compliance_shift,0.569444,0.426552,0.239542,0.243141,0.089914,0.212718,0.089218,0.023007,0.006226,0.002257,0.002558,0.002326,0.001871,0.001961,7
conformal_risk_filter,occluded_push_recovery,contact_mode_flip,0.545635,0.411039,0.249508,0.256291,0.091827,0.218188,0.091214,0.041461,0.007158,0.004837,0.005046,0.002428,0.001442,0.002808,7
conformal_risk_filter,occluded_push_recovery,friction_shift,0.557540,0.423014,0.233995,0.243512,0.086403,0.209169,0.085736,0.042601,0.007002,0.003533,0.003371,0.001267,0.002598,0.001823,7
conformal_risk_filter,occluded_push_recovery,nominal,0.644841,0.454948,0.211994,0.217605,0.078831,0.199311,0.074615,0.041945,0.013698,0.002050,0.004691,0.002227,0.002895,0.003155,7
conformal_risk_filter,occluded_push_recovery,occlusion_persistence,0.551587,0.427109,0.245864,0.247394,0.090747,0.212631,0.091562,0.066073,0.009532,0.003973,0.003690,0.003286,0.001554,0.002148,7
conformal_risk_filter,occluded_push_recovery,payload_shift,0.519841,0.414797,0.254276,0.260129,0.090827,0.216425,0.094278,0.036550,0.008528,0.005512,0.003492,0.002146,0.001694,0.001416,7
conformal_risk_filter,payload_handover,actuator_lag,0.537698,0.419819,0.244688,0.249242,0.090909,0.217031,0.089503,0.039723,0.008291,0.003225,0.003317,0.003042,0.002373,0.002300,7
conformal_risk_filter,payload_handover,combined_hidden_mechanisms,0.452381,0.380539,0.270429,0.279788,0.100870,0.225813,0.101798,0.030785,0.008008,0.004797,0.005147,0.002444,0.003754,0.002560,7
conformal_risk_filter,payload_handover,compliance_shift,0.575397,0.424290,0.239068,0.246890,0.089741,0.213835,0.088272,0.029617,0.006422,0.002575,0.003735,0.001792,0.002327,0.003017,7
conformal_risk_filter,payload_handover,contact_mode_flip,0.533730,0.411972,0.249496,0.251821,0.092780,0.215888,0.092224,0.023655,0.007896,0.002760,0.004410,0.001286,0.003264,0.000983,7
conformal_risk_filter,payload_handover,friction_shift,0.559524,0.429408,0.232853,0.242147,0.086745,0.209821,0.087845,0.047043,0.009398,0.001981,0.001648,0.001842,0.002686,0.002423,7
conformal_risk_filter,payload_handover,nominal,0.613095,0.451826,0.210159,0.219054,0.077464,0.194875,0.072529,0.053274,0.005768,0.004310,0.002651,0.001856,0.002781,0.001906,7
conformal_risk_filter,payload_handover,occlusion_persistence,0.539683,0.416650,0.243385,0.246210,0.089593,0.212888,0.088338,0.059827,0.009194,0.003408,0.005088,0.001624,0.004073,0.001240,7
conformal_risk_filter,payload_handover,payload_shift,0.521825,0.410979,0.251185,0.258438,0.092005,0.221040,0.095192,0.056623,0.002533,0.007518,0.002753,0.002215,0.001720,0.002973,7
conformal_risk_filter,peg_insert_with_lag,actuator_lag,0.545635,0.406339,0.252944,0.253964,0.090225,0.217699,0.091767,0.049242,0.006941,0.003160,0.004775,0.002197,0.002862,0.001324,7
conformal_risk_filter,peg_insert_with_lag,combined_hidden_mechanisms,0.460317,0.367940,0.280873,0.284471,0.103848,0.227777,0.104555,0.041764,0.011568,0.005500,0.005016,0.001388,0.002334,0.001759,7
conformal_risk_filter,peg_insert_with_lag,compliance_shift,0.507937,0.414916,0.243694,0.250251,0.092453,0.214603,0.089093,0.058463,0.007729,0.002094,0.003560,0.002423,0.003360,0.003481,7
conformal_risk_filter,peg_insert_with_lag,contact_mode_flip,0.539683,0.408790,0.256184,0.261224,0.094497,0.217088,0.091700,0.032768,0.010388,0.003357,0.003020,0.003218,0.003036,0.002446,7
conformal_risk_filter,peg_insert_with_lag,friction_shift,0.575397,0.417381,0.239786,0.243403,0.087455,0.211221,0.084384,0.042363,0.007547,0.003095,0.003572,0.003770,0.005664,0.001876,7
conformal_risk_filter,peg_insert_with_lag,nominal,0.595238,0.449761,0.215656,0.218522,0.081368,0.199227,0.075241,0.016191,0.006407,0.003714,0.005241,0.001370,0.002760,0.003397,7
conformal_risk_filter,peg_insert_with_lag,occlusion_persistence,0.533730,0.417113,0.249251,0.253315,0.090369,0.215196,0.088972,0.054073,0.004944,0.002781,0.002636,0.001825,0.003387,0.002550,7
conformal_risk_filter,peg_insert_with_lag,payload_shift,0.488095,0.400700,0.260106,0.262731,0.096907,0.220350,0.094101,0.041764,0.010392,0.003597,0.003452,0.001403,0.002551,0.001796,7
data_augmented_world_model,cluttered_navigation_grasp,actuator_lag,0.367063,0.275743,0.343242,0.321462,0.119351,0.098377,0.132390,0.057856,0.010785,0.002748,0.003212,0.001907,0.001178,0.001733,7
data_augmented_world_model,cluttered_navigation_grasp,combined_hidden_mechanisms,0.321429,0.238587,0.382525,0.367367,0.135094,0.109447,0.151828,0.046559,0.008161,0.003681,0.003971,0.001600,0.003071,0.001492,7
data_augmented_world_model,cluttered_navigation_grasp,compliance_shift,0.448413,0.285162,0.334127,0.320228,0.118949,0.099483,0.128758,0.059319,0.004455,0.002002,0.004615,0.001991,0.003405,0.002211,7
data_augmented_world_model,cluttered_navigation_grasp,contact_mode_flip,0.390873,0.274013,0.352658,0.331742,0.123449,0.098453,0.134478,0.056801,0.013342,0.004432,0.004502,0.002008,0.002112,0.003156,7
data_augmented_world_model,cluttered_navigation_grasp,friction_shift,0.501984,0.285545,0.328358,0.310557,0.114417,0.096774,0.125081,0.040477,0.008619,0.004177,0.004945,0.001884,0.001987,0.001630,7
data_augmented_world_model,cluttered_navigation_grasp,nominal,0.537698,0.327034,0.297021,0.278159,0.104282,0.091706,0.110595,0.045904,0.006814,0.003090,0.002553,0.001786,0.002755,0.002063,7
data_augmented_world_model,cluttered_navigation_grasp,occlusion_persistence,0.414683,0.274066,0.338589,0.321287,0.117161,0.097114,0.130601,0.042184,0.004381,0.003791,0.003184,0.002441,0.002930,0.001918,7
data_augmented_world_model,cluttered_navigation_grasp,payload_shift,0.402778,0.263111,0.353531,0.335531,0.121742,0.103911,0.137222,0.045241,0.004396,0.003386,0.001409,0.001307,0.002348,0.002862,7
data_augmented_world_model,deformable_bin_pick,actuator_lag,0.400794,0.269703,0.343348,0.326186,0.121391,0.100414,0.134918,0.026849,0.006478,0.002898,0.003662,0.002131,0.002287,0.003152,7
data_augmented_world_model,deformable_bin_pick,combined_hidden_mechanisms,0.325397,0.236117,0.383573,0.364489,0.136640,0.111471,0.153493,0.027129,0.010295,0.003760,0.003627,0.002720,0.003328,0.001393,7
data_augmented_world_model,deformable_bin_pick,compliance_shift,0.386905,0.274844,0.335346,0.318642,0.117756,0.099605,0.130429,0.034856,0.004867,0.001517,0.004152,0.001545,0.003447,0.001873,7
data_augmented_world_model,deformable_bin_pick,contact_mode_flip,0.388889,0.265321,0.351504,0.329467,0.123958,0.101367,0.136596,0.033604,0.006617,0.003971,0.004886,0.001673,0.003378,0.002017,7
data_augmented_world_model,deformable_bin_pick,friction_shift,0.410714,0.286129,0.329490,0.313496,0.115965,0.097138,0.125812,0.041522,0.006844,0.004462,0.002672,0.003517,0.002044,0.002711,7
data_augmented_world_model,deformable_bin_pick,nominal,0.511905,0.311192,0.298546,0.279988,0.101022,0.090615,0.109003,0.040910,0.008855,0.003383,0.003018,0.002874,0.004013,0.001684,7
data_augmented_world_model,deformable_bin_pick,occlusion_persistence,0.406746,0.279991,0.339490,0.324764,0.118641,0.098195,0.130113,0.056579,0.010489,0.004833,0.003011,0.002573,0.004271,0.002928,7
data_augmented_world_model,deformable_bin_pick,payload_shift,0.386905,0.270367,0.356589,0.336167,0.124542,0.102333,0.137464,0.056176,0.011066,0.005134,0.002421,0.002601,0.003273,0.002308,7
data_augmented_world_model,drawer_contact_repair,actuator_lag,0.412698,0.283533,0.336893,0.316615,0.119120,0.096594,0.133475,0.035501,0.006488,0.003521,0.003965,0.001974,0.003030,0.003252,7
data_augmented_world_model,drawer_contact_repair,combined_hidden_mechanisms,0.333333,0.251859,0.372721,0.360736,0.134334,0.108136,0.151384,0.040725,0.007740,0.003551,0.004112,0.001925,0.002284,0.002883,7
data_augmented_world_model,drawer_contact_repair,compliance_shift,0.480159,0.293057,0.333186,0.311187,0.118458,0.099271,0.128940,0.024390,0.005625,0.002278,0.003772,0.002020,0.004218,0.002769,7
data_augmented_world_model,drawer_contact_repair,contact_mode_flip,0.398810,0.282046,0.342343,0.327600,0.120072,0.104108,0.134808,0.053369,0.010654,0.003763,0.002240,0.002361,0.003056,0.002083,7
data_augmented_world_model,drawer_contact_repair,friction_shift,0.505952,0.300839,0.322887,0.302643,0.112707,0.097317,0.124419,0.017679,0.006694,0.003319,0.005719,0.001690,0.002663,0.002428,7
data_augmented_world_model,drawer_contact_repair,nominal,0.543651,0.321507,0.291441,0.272302,0.100550,0.086596,0.109544,0.038235,0.004879,0.004964,0.002363,0.001102,0.002895,0.001800,7
data_augmented_world_model,drawer_contact_repair,occlusion_persistence,0.464286,0.288478,0.332203,0.315625,0.115962,0.100044,0.132855,0.031911,0.005210,0.003549,0.006675,0.002775,0.003583,0.001789,7
data_augmented_world_model,drawer_contact_repair,payload_shift,0.432540,0.276216,0.349329,0.333707,0.123296,0.101409,0.139005,0.049853,0.006813,0.004741,0.003076,0.002274,0.003760,0.001954,7
data_augmented_world_model,occluded_push_recovery,actuator_lag,0.418651,0.276642,0.340410,0.324569,0.120573,0.100584,0.132001,0.041764,0.005972,0.004063,0.003181,0.001425,0.003094,0.001701,7
data_augmented_world_model,occluded_push_recovery,combined_hidden_mechanisms,0.303571,0.248372,0.383206,0.363207,0.133939,0.106892,0.154804,0.026849,0.005523,0.002852,0.003059,0.002869,0.002636,0.001864,7
data_augmented_world_model,occluded_push_recovery,compliance_shift,0.422619,0.280268,0.330487,0.319713,0.117049,0.099849,0.127837,0.048934,0.007871,0.004576,0.002505,0.001631,0.002139,0.001637,7
data_augmented_world_model,occluded_push_recovery,contact_mode_flip,0.378968,0.265746,0.345009,0.331580,0.122503,0.099651,0.136639,0.032381,0.008552,0.003046,0.004031,0.001921,0.002528,0.002191,7
data_augmented_world_model,occluded_push_recovery,friction_shift,0.448413,0.287758,0.330585,0.311176,0.115498,0.095376,0.126875,0.052368,0.004431,0.003084,0.004665,0.002923,0.001233,0.001304,7
data_augmented_world_model,occluded_push_recovery,nominal,0.450397,0.309338,0.294714,0.277218,0.102475,0.089396,0.110177,0.050705,0.005401,0.002528,0.003202,0.001947,0.003635,0.001906,7
data_augmented_world_model,occluded_push_recovery,occlusion_persistence,0.444444,0.279487,0.339156,0.319615,0.117803,0.097996,0.131383,0.033075,0.005531,0.005073,0.003585,0.001785,0.003200,0.003082,7
data_augmented_world_model,occluded_push_recovery,payload_shift,0.345238,0.268718,0.352428,0.335914,0.125222,0.100986,0.138402,0.039147,0.008913,0.004368,0.004762,0.002255,0.002517,0.002108,7
data_augmented_world_model,payload_handover,actuator_lag,0.450397,0.278500,0.339050,0.322877,0.117048,0.101077,0.132496,0.026471,0.005345,0.003236,0.004579,0.002114,0.002730,0.002313,7
data_augmented_world_model,payload_handover,combined_hidden_mechanisms,0.347222,0.245414,0.381118,0.362477,0.133454,0.104901,0.152325,0.052127,0.007786,0.003038,0.003327,0.002191,0.001407,0.002905,7
data_augmented_world_model,payload_handover,compliance_shift,0.432540,0.281517,0.332781,0.312052,0.116926,0.096918,0.130338,0.035854,0.008204,0.002173,0.003601,0.001661,0.002061,0.001584,7
data_augmented_world_model,payload_handover,contact_mode_flip,0.470238,0.280854,0.346241,0.325156,0.120972,0.098619,0.136945,0.042184,0.011865,0.003108,0.004232,0.001574,0.003175,0.001581,7
data_augmented_world_model,payload_handover,friction_shift,0.438492,0.290988,0.326250,0.309334,0.112598,0.096594,0.126588,0.072962,0.006767,0.004890,0.004373,0.002351,0.002775,0.003458,7
data_augmented_world_model,payload_handover,nominal,0.476190,0.313997,0.292991,0.275304,0.100720,0.090202,0.110819,0.025002,0.008452,0.002596,0.004244,0.002975,0.002456,0.002596,7
data_augmented_world_model,payload_handover,occlusion_persistence,0.402778,0.282612,0.337941,0.316744,0.115486,0.098723,0.130221,0.030290,0.007562,0.003979,0.003977,0.002787,0.003300,0.001651,7
data_augmented_world_model,payload_handover,payload_shift,0.369048,0.276453,0.348426,0.334964,0.125376,0.103429,0.138888,0.036550,0.007353,0.002499,0.002601,0.002337,0.003418,0.001998,7
data_augmented_world_model,peg_insert_with_lag,actuator_lag,0.371032,0.265983,0.345719,0.326683,0.121747,0.096327,0.132177,0.042719,0.002589,0.002454,0.002207,0.001606,0.002033,0.002047,7
data_augmented_world_model,peg_insert_with_lag,combined_hidden_mechanisms,0.335317,0.239106,0.389259,0.365819,0.135931,0.108822,0.152145,0.053933,0.007908,0.003542,0.005494,0.002072,0.001150,0.002639,7
