budget,method,seed,coverage,breach_rate,gated_success,gated_utility,accepted_rows,rows
0.050000,active_probe_planner,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,active_probe_planner,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,causal_query_repair,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,conformal_risk_filter,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,counterfactual_mechanism_audit_v5,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,oracle_mechanism_repair,0,0.328125,0.000000,0.960317,1.031990,126,384
0.050000,oracle_mechanism_repair,1,0.346354,0.000000,0.924812,0.993200,133,384
0.050000,oracle_mechanism_repair,2,0.356771,0.000000,0.905109,0.975391,137,384
0.050000,oracle_mechanism_repair,3,0.309896,0.000000,0.974790,1.046768,119,384
0.050000,oracle_mechanism_repair,4,0.338542,0.000000,0.915385,0.983432,130,384
0.050000,oracle_mechanism_repair,5,0.364583,0.000000,0.914286,0.982450,140,384
0.050000,oracle_mechanism_repair,6,0.312500,0.000000,0.916667,0.984175,120,384
0.050000,oracle_mechanism_repair,7,0.304688,0.000000,0.940171,1.011818,117,384
0.050000,oracle_mechanism_repair,8,0.351562,0.000000,0.896296,0.963943,135,384
0.050000,oracle_mechanism_repair,9,0.309896,0.000000,0.890756,0.959147,119,384
0.050000,proposed_failed_rollout_audit_v4_1,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,8,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,proposed_failed_rollout_audit_v4_1,9,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,0,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,1,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,2,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,3,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,4,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,5,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,6,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,7,0.000000,0.000000,0.000000,-1.000000,0,384
0.050000,scalar_uncertainty_planner,8,0.000000,0.000000,0.000000,-1.000000,0,384
