method,split,seed,mean_success_rate,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,ci95_success_rate,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,groups
conformal_risk_filter,in_distribution,5,0.643519,0.461715,0.208048,0.214712,0.079841,0.200488,0.074929,0.016911,0.006544,0.004843,0.005272,0.001825,0.002612,0.002270,48
conformal_risk_filter,in_distribution,6,0.634838,0.459419,0.207671,0.215565,0.080468,0.200037,0.075802,0.018694,0.006288,0.005094,0.005268,0.002049,0.002158,0.002405,48
conformal_risk_filter,long_horizon,0,0.570891,0.446715,0.220837,0.226715,0.084221,0.204118,0.080215,0.019692,0.005937,0.004894,0.004985,0.001975,0.002576,0.002190,48
conformal_risk_filter,long_horizon,1,0.584780,0.444082,0.221070,0.227543,0.083325,0.205533,0.080921,0.015511,0.005998,0.004974,0.005084,0.002107,0.002230,0.002217,48
conformal_risk_filter,long_horizon,2,0.578125,0.442248,0.220662,0.229176,0.084176,0.205385,0.081558,0.019848,0.006507,0.004930,0.004999,0.001975,0.002593,0.002290,48
conformal_risk_filter,long_horizon,3,0.580150,0.444814,0.220274,0.227325,0.083676,0.204969,0.080227,0.020170,0.007276,0.004636,0.004907,0.002051,0.002470,0.002470,48
conformal_risk_filter,long_horizon,4,0.588252,0.445623,0.220981,0.228829,0.083872,0.205413,0.081092,0.020141,0.005949,0.005052,0.005761,0.001965,0.002461,0.002167,48
conformal_risk_filter,long_horizon,5,0.580440,0.444124,0.222460,0.227392,0.083164,0.205598,0.080178,0.018105,0.007055,0.005148,0.005357,0.001851,0.002564,0.002409,48
conformal_risk_filter,long_horizon,6,0.593461,0.443280,0.221223,0.227038,0.083949,0.205104,0.079590,0.017753,0.006713,0.004964,0.004958,0.002165,0.002984,0.002598,48
conformal_risk_filter,sparse_observation,0,0.558449,0.415889,0.242830,0.247871,0.089521,0.214858,0.089091,0.016689,0.006043,0.005044,0.005053,0.002104,0.002501,0.002200,48
conformal_risk_filter,sparse_observation,1,0.564236,0.418960,0.244289,0.248517,0.089926,0.213984,0.089707,0.017695,0.005955,0.004871,0.005249,0.001569,0.002501,0.002237,48
conformal_risk_filter,sparse_observation,2,0.568866,0.418505,0.242962,0.250164,0.090700,0.213697,0.088713,0.018518,0.006448,0.005078,0.005385,0.002168,0.002639,0.002616,48
conformal_risk_filter,sparse_observation,3,0.564236,0.419346,0.241423,0.249202,0.089536,0.214448,0.089551,0.019191,0.006419,0.004554,0.005714,0.001888,0.002418,0.002371,48
conformal_risk_filter,sparse_observation,4,0.559317,0.418431,0.242940,0.248168,0.089985,0.212952,0.088158,0.019159,0.006470,0.005523,0.005192,0.002130,0.002151,0.002204,48
conformal_risk_filter,sparse_observation,5,0.578414,0.420522,0.243019,0.247768,0.089973,0.214499,0.089183,0.019427,0.005660,0.004953,0.005287,0.001965,0.002321,0.002232,48
conformal_risk_filter,sparse_observation,6,0.560185,0.417332,0.243578,0.249114,0.090214,0.213960,0.088683,0.015931,0.006558,0.004739,0.005044,0.001781,0.002274,0.002449,48
data_augmented_world_model,combined_stress,0,0.421296,0.278084,0.340113,0.322864,0.119727,0.099544,0.131915,0.024212,0.005707,0.006793,0.006777,0.002635,0.001955,0.003346,48
data_augmented_world_model,combined_stress,1,0.416377,0.277555,0.340664,0.321258,0.119181,0.099541,0.132025,0.022101,0.006331,0.006612,0.006746,0.002579,0.001560,0.003177,48
data_augmented_world_model,combined_stress,2,0.410880,0.278638,0.340007,0.321891,0.120107,0.100091,0.131268,0.021473,0.006369,0.006624,0.006683,0.002579,0.001647,0.003395,48
data_augmented_world_model,combined_stress,3,0.413194,0.278436,0.339193,0.321716,0.119041,0.098122,0.132030,0.022861,0.006377,0.006888,0.006927,0.002646,0.001835,0.003336,48
data_augmented_world_model,combined_stress,4,0.413773,0.277528,0.340331,0.323245,0.118650,0.099730,0.132604,0.018904,0.006685,0.006810,0.006807,0.002670,0.001831,0.003250,48
data_augmented_world_model,combined_stress,5,0.416667,0.278712,0.340096,0.321646,0.118847,0.099054,0.131455,0.023351,0.006243,0.006600,0.006735,0.002588,0.001957,0.003443,48
data_augmented_world_model,combined_stress,6,0.418113,0.279198,0.339727,0.322179,0.118566,0.098367,0.131594,0.021325,0.006374,0.006606,0.006618,0.002617,0.001780,0.003284,48
data_augmented_world_model,hidden_mechanism,0,0.497685,0.306825,0.313370,0.299530,0.112646,0.093334,0.124457,0.019526,0.006243,0.006503,0.006998,0.002796,0.001930,0.003376,48
data_augmented_world_model,hidden_mechanism,1,0.487847,0.305165,0.312290,0.299081,0.112703,0.095493,0.124149,0.022675,0.005614,0.006422,0.006909,0.002764,0.001710,0.003430,48
data_augmented_world_model,hidden_mechanism,2,0.483796,0.305484,0.312764,0.298281,0.112942,0.093695,0.124690,0.020073,0.006059,0.006583,0.006721,0.002993,0.001869,0.003351,48
data_augmented_world_model,hidden_mechanism,3,0.481192,0.302631,0.313993,0.299967,0.113434,0.093745,0.124460,0.019000,0.006104,0.006940,0.006599,0.002651,0.001794,0.003435,48
data_augmented_world_model,hidden_mechanism,4,0.488137,0.305788,0.314171,0.300359,0.112730,0.094321,0.124107,0.020807,0.005946,0.006780,0.006734,0.002706,0.001471,0.003358,48
data_augmented_world_model,hidden_mechanism,5,0.492477,0.304106,0.315261,0.299252,0.112003,0.094759,0.125121,0.023167,0.005776,0.006622,0.006839,0.002833,0.002059,0.003138,48
data_augmented_world_model,hidden_mechanism,6,0.487847,0.302452,0.314036,0.299308,0.111746,0.094297,0.124803,0.019963,0.006202,0.006782,0.006554,0.002375,0.001564,0.003294,48
data_augmented_world_model,in_distribution,0,0.548611,0.327436,0.290767,0.279929,0.106891,0.089501,0.117975,0.022418,0.006582,0.006592,0.006452,0.002628,0.001582,0.003394,48
data_augmented_world_model,in_distribution,1,0.547743,0.327001,0.289071,0.280305,0.106707,0.090393,0.117543,0.021520,0.005492,0.006571,0.006957,0.002769,0.001552,0.003498,48
data_augmented_world_model,in_distribution,2,0.543981,0.330059,0.289228,0.279443,0.105822,0.091060,0.118174,0.021724,0.006001,0.006475,0.006546,0.002648,0.001830,0.003464,48
data_augmented_world_model,in_distribution,3,0.536748,0.328789,0.289592,0.279195,0.106327,0.090784,0.117410,0.020909,0.006153,0.006802,0.006608,0.002596,0.001686,0.003364,48
data_augmented_world_model,in_distribution,4,0.551794,0.328011,0.290541,0.279510,0.106486,0.091421,0.118505,0.019142,0.005769,0.006654,0.006990,0.002546,0.001798,0.003173,48
data_augmented_world_model,in_distribution,5,0.527199,0.326245,0.288851,0.278602,0.107329,0.090696,0.117416,0.023769,0.006753,0.006642,0.006508,0.002568,0.001626,0.003330,48
data_augmented_world_model,in_distribution,6,0.550637,0.329186,0.289295,0.278983,0.106384,0.090869,0.118182,0.018169,0.005685,0.006859,0.006499,0.002678,0.001524,0.003447,48
data_augmented_world_model,long_horizon,0,0.473958,0.307714,0.307109,0.294756,0.111205,0.093847,0.122833,0.021698,0.005957,0.006934,0.006749,0.002830,0.001895,0.003315,48
data_augmented_world_model,long_horizon,1,0.473958,0.308333,0.308047,0.294097,0.111177,0.093718,0.123371,0.021301,0.005854,0.006924,0.007065,0.002692,0.001804,0.003239,48
data_augmented_world_model,long_horizon,2,0.467593,0.309379,0.307725,0.294437,0.110051,0.093875,0.122737,0.021404,0.005659,0.006816,0.006739,0.002633,0.001730,0.003724,48
data_augmented_world_model,long_horizon,3,0.474826,0.310235,0.308223,0.295772,0.110430,0.092967,0.123281,0.018118,0.005794,0.006824,0.006507,0.002531,0.001591,0.003452,48
data_augmented_world_model,long_horizon,4,0.469907,0.312065,0.308299,0.295782,0.111651,0.093557,0.122584,0.019221,0.005236,0.006900,0.006638,0.002822,0.001914,0.003415,48
data_augmented_world_model,long_horizon,5,0.468171,0.311934,0.308666,0.294257,0.111307,0.093644,0.122489,0.022694,0.006702,0.006998,0.006212,0.002618,0.001693,0.003435,48
data_augmented_world_model,long_horizon,6,0.487269,0.310410,0.306888,0.295262,0.110524,0.093471,0.123082,0.025998,0.006375,0.007116,0.006640,0.002555,0.001969,0.003497,48
data_augmented_world_model,sparse_observation,0,0.441840,0.282118,0.337015,0.320263,0.118221,0.098660,0.131571,0.021924,0.005863,0.006524,0.006623,0.002498,0.001818,0.003421,48
data_augmented_world_model,sparse_observation,1,0.447049,0.280201,0.337823,0.320565,0.118679,0.098781,0.131170,0.021455,0.005803,0.006543,0.006941,0.002418,0.001890,0.003484,48
data_augmented_world_model,sparse_observation,2,0.437500,0.281879,0.337534,0.319340,0.119204,0.098676,0.131183,0.021929,0.006227,0.006875,0.006345,0.002728,0.001578,0.003156,48
data_augmented_world_model,sparse_observation,3,0.451389,0.283062,0.337084,0.319784,0.118859,0.098144,0.131261,0.022810,0.005755,0.006334,0.007006,0.002613,0.001585,0.003287,48
data_augmented_world_model,sparse_observation,4,0.460069,0.280258,0.336743,0.319444,0.118675,0.099147,0.131706,0.018441,0.006199,0.006697,0.006573,0.002816,0.001712,0.003460,48
data_augmented_world_model,sparse_observation,5,0.440683,0.282181,0.335744,0.320247,0.119269,0.098831,0.132076,0.016977,0.005698,0.006851,0.006377,0.002742,0.001826,0.003237,48
data_augmented_world_model,sparse_observation,6,0.441840,0.278784,0.335521,0.320251,0.118947,0.099528,0.132098,0.017990,0.005757,0.006737,0.006694,0.002543,0.001993,0.003280,48
ensemble_disagreement_planner,combined_stress,0,0.520544,0.392650,0.265935,0.257961,0.098063,0.184547,0.099785,0.022506,0.006928,0.005490,0.005548,0.002107,0.002203,0.002313,48
ensemble_disagreement_planner,combined_stress,1,0.532697,0.392105,0.265170,0.258432,0.097829,0.184292,0.099358,0.021035,0.007226,0.005512,0.005618,0.002133,0.002063,0.002493,48
ensemble_disagreement_planner,combined_stress,2,0.535590,0.392453,0.264862,0.258952,0.098133,0.184550,0.100270,0.022592,0.006404,0.005283,0.005589,0.002016,0.002131,0.002433,48
ensemble_disagreement_planner,combined_stress,3,0.535590,0.391031,0.265692,0.258048,0.097826,0.184000,0.099585,0.022679,0.006725,0.005639,0.005387,0.002190,0.002205,0.002448,48
ensemble_disagreement_planner,combined_stress,4,0.515336,0.393090,0.265389,0.259075,0.097120,0.184727,0.099489,0.022230,0.006141,0.005733,0.005167,0.002171,0.002392,0.002557,48
ensemble_disagreement_planner,combined_stress,5,0.526910,0.391871,0.265299,0.259168,0.097660,0.185793,0.099180,0.016990,0.006821,0.005525,0.005713,0.002187,0.002061,0.002626,48
ensemble_disagreement_planner,combined_stress,6,0.514468,0.390013,0.265393,0.259426,0.097755,0.184272,0.099192,0.019654,0.006604,0.005297,0.005534,0.002139,0.002496,0.002630,48
ensemble_disagreement_planner,hidden_mechanism,0,0.572917,0.420711,0.242365,0.240973,0.091519,0.176831,0.091077,0.019696,0.006957,0.005385,0.005133,0.002203,0.002281,0.002389,48
ensemble_disagreement_planner,hidden_mechanism,1,0.576389,0.417429,0.243740,0.241636,0.091283,0.178084,0.092046,0.017978,0.006715,0.005217,0.005268,0.002132,0.002489,0.002375,48
ensemble_disagreement_planner,hidden_mechanism,2,0.586227,0.418193,0.243885,0.240697,0.091356,0.177269,0.092217,0.016610,0.006441,0.005038,0.005449,0.002286,0.002361,0.002450,48
ensemble_disagreement_planner,hidden_mechanism,3,0.584491,0.415257,0.243949,0.241065,0.091856,0.176848,0.091335,0.017681,0.006456,0.005108,0.005417,0.002303,0.002391,0.002748,48
ensemble_disagreement_planner,hidden_mechanism,4,0.568866,0.419933,0.243123,0.239977,0.092204,0.177961,0.092514,0.021748,0.006949,0.005529,0.005181,0.002311,0.002238,0.002455,48
ensemble_disagreement_planner,hidden_mechanism,5,0.571181,0.417725,0.245438,0.239751,0.091662,0.177330,0.091595,0.021424,0.005712,0.005571,0.005560,0.002248,0.002215,0.002486,48
ensemble_disagreement_planner,hidden_mechanism,6,0.569155,0.415967,0.244353,0.241373,0.091890,0.177351,0.091552,0.018006,0.007199,0.005543,0.005124,0.002095,0.002221,0.002518,48
ensemble_disagreement_planner,in_distribution,0,0.604167,0.437765,0.225326,0.222238,0.086320,0.170850,0.084621,0.018660,0.007118,0.005364,0.004959,0.002191,0.002133,0.002459,48
ensemble_disagreement_planner,in_distribution,1,0.621817,0.437443,0.225929,0.223012,0.086063,0.170195,0.085554,0.017854,0.006547,0.005453,0.005420,0.002082,0.002324,0.002624,48
ensemble_disagreement_planner,in_distribution,2,0.612269,0.438139,0.225503,0.224048,0.085927,0.171113,0.084964,0.020325,0.007156,0.004996,0.005287,0.002300,0.001892,0.002304,48
ensemble_disagreement_planner,in_distribution,3,0.618634,0.437522,0.226713,0.224391,0.086508,0.170888,0.084997,0.019870,0.006950,0.005553,0.005584,0.002077,0.002347,0.002445,48
ensemble_disagreement_planner,in_distribution,4,0.616030,0.437565,0.224940,0.224172,0.086198,0.170527,0.084851,0.019829,0.006127,0.005304,0.005189,0.002046,0.002105,0.002461,48
ensemble_disagreement_planner,in_distribution,5,0.626447,0.441542,0.226568,0.223263,0.086128,0.170841,0.085159,0.019236,0.006252,0.005272,0.005216,0.002405,0.002471,0.002379,48
ensemble_disagreement_planner,in_distribution,6,0.614294,0.438140,0.225600,0.223344,0.087050,0.170432,0.084898,0.019792,0.006584,0.005454,0.005616,0.002345,0.002381,0.002498,48
ensemble_disagreement_planner,long_horizon,0,0.569155,0.422269,0.238506,0.237023,0.091229,0.175816,0.090496,0.021498,0.006528,0.005395,0.005474,0.002066,0.002097,0.002634,48
ensemble_disagreement_planner,long_horizon,1,0.577257,0.424045,0.239531,0.235831,0.090628,0.176869,0.089413,0.020033,0.006306,0.005185,0.005229,0.002112,0.002467,0.002543,48
ensemble_disagreement_planner,long_horizon,2,0.577257,0.424424,0.239631,0.236818,0.090345,0.174666,0.090416,0.022621,0.006785,0.005331,0.005312,0.002160,0.002022,0.002533,48
ensemble_disagreement_planner,long_horizon,3,0.561053,0.423544,0.238658,0.236079,0.090032,0.176990,0.089772,0.019516,0.006749,0.005223,0.005359,0.002308,0.002284,0.002504,48
ensemble_disagreement_planner,long_horizon,4,0.557292,0.421951,0.240649,0.236615,0.090723,0.175570,0.089213,0.020111,0.006395,0.005204,0.005513,0.002298,0.002322,0.002449,48
ensemble_disagreement_planner,long_horizon,5,0.567419,0.421103,0.239444,0.236349,0.091123,0.176525,0.090381,0.019334,0.006295,0.005296,0.005354,0.001962,0.002088,0.002521,48
ensemble_disagreement_planner,long_horizon,6,0.570602,0.422381,0.238427,0.236143,0.090327,0.175852,0.090316,0.018919,0.006553,0.005249,0.005383,0.002015,0.002232,0.002632,48
ensemble_disagreement_planner,sparse_observation,0,0.551794,0.394655,0.263580,0.258641,0.097165,0.183749,0.098271,0.022164,0.006157,0.005254,0.005393,0.002148,0.002292,0.002713,48
ensemble_disagreement_planner,sparse_observation,1,0.546586,0.394335,0.263212,0.258091,0.097394,0.182651,0.098674,0.019796,0.005681,0.005674,0.005284,0.002156,0.002186,0.002445,48
ensemble_disagreement_planner,sparse_observation,2,0.548032,0.395636,0.263151,0.256927,0.096360,0.183897,0.099059,0.020392,0.006983,0.005579,0.005363,0.002368,0.001929,0.002583,48
ensemble_disagreement_planner,sparse_observation,3,0.532118,0.396882,0.262902,0.257104,0.097190,0.183794,0.098859,0.020152,0.006531,0.005489,0.005445,0.002134,0.002145,0.002583,48
ensemble_disagreement_planner,sparse_observation,4,0.538194,0.395888,0.261633,0.257932,0.096828,0.183848,0.098454,0.019961,0.006149,0.005328,0.005656,0.002136,0.002258,0.002430,48
ensemble_disagreement_planner,sparse_observation,5,0.546875,0.395106,0.263723,0.257731,0.097389,0.183730,0.097996,0.019930,0.006159,0.005394,0.005319,0.002298,0.002396,0.002418,48
ensemble_disagreement_planner,sparse_observation,6,0.546875,0.395648,0.262570,0.257902,0.097085,0.183343,0.097614,0.021515,0.006547,0.005548,0.004979,0.002082,0.002361,0.002585,48
failure_classifier_repair,combined_stress,0,0.572049,0.450201,0.240528,0.237672,0.087249,0.241339,0.087400,0.024311,0.008835,0.004761,0.005207,0.002047,0.002803,0.002109,48
failure_classifier_repair,combined_stress,1,0.567708,0.450342,0.240186,0.237703,0.087406,0.242034,0.087389,0.021331,0.007386,0.005178,0.004852,0.001973,0.002651,0.002115,48
failure_classifier_repair,combined_stress,2,0.565683,0.450829,0.240072,0.237883,0.086822,0.242042,0.088337,0.021395,0.007285,0.004774,0.005187,0.001933,0.002757,0.002196,48
failure_classifier_repair,combined_stress,3,0.572338,0.452790,0.241674,0.237150,0.087922,0.241455,0.086786,0.017608,0.007578,0.005261,0.005064,0.001853,0.002533,0.001963,48
failure_classifier_repair,combined_stress,4,0.556713,0.450929,0.241756,0.238274,0.087348,0.240856,0.086719,0.020438,0.007777,0.005033,0.004949,0.001879,0.002760,0.002345,48
failure_classifier_repair,combined_stress,5,0.554977,0.448551,0.240403,0.238011,0.088077,0.242447,0.086669,0.017664,0.007392,0.005039,0.004967,0.002105,0.002743,0.002060,48
failure_classifier_repair,combined_stress,6,0.567130,0.454025,0.240302,0.237678,0.087123,0.242340,0.087520,0.019083,0.006887,0.005184,0.004647,0.001901,0.002686,0.002222,48
failure_classifier_repair,hidden_mechanism,0,0.613715,0.478695,0.219950,0.220219,0.081678,0.233592,0.078806,0.019682,0.007292,0.005064,0.005289,0.001945,0.002441,0.002112,48
failure_classifier_repair,hidden_mechanism,1,0.618056,0.477614,0.218145,0.221198,0.082105,0.232438,0.080238,0.019654,0.007100,0.004814,0.004856,0.001885,0.002771,0.002226,48
