method,split,seed,mean_success_rate,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,ci95_success_rate,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,groups
active_probe_planner,combined_stress,0,0.609086,0.528343,0.215543,0.209225,0.083316,0.317978,0.081154,0.022197,0.006568,0.004159,0.004663,0.001704,0.003082,0.001986,48
active_probe_planner,combined_stress,1,0.598090,0.529741,0.215613,0.207700,0.083029,0.318972,0.080549,0.020009,0.006993,0.004249,0.004330,0.001961,0.003098,0.001838,48
active_probe_planner,combined_stress,2,0.598669,0.529875,0.214714,0.209587,0.083758,0.319037,0.080250,0.016357,0.007370,0.004470,0.004127,0.002062,0.003065,0.001993,48
active_probe_planner,combined_stress,3,0.612269,0.529159,0.214883,0.208783,0.083072,0.318822,0.079568,0.013461,0.006786,0.004906,0.004758,0.001766,0.003184,0.001812,48
active_probe_planner,combined_stress,4,0.618924,0.529744,0.214540,0.207738,0.082848,0.319085,0.081678,0.019316,0.006814,0.004469,0.004369,0.001757,0.003308,0.002117,48
active_probe_planner,combined_stress,5,0.610243,0.530429,0.214597,0.207961,0.083430,0.319542,0.080634,0.019761,0.006571,0.004460,0.004663,0.001661,0.003215,0.001957,48
active_probe_planner,combined_stress,6,0.613137,0.528727,0.214667,0.206228,0.083940,0.319962,0.081822,0.015945,0.007040,0.004784,0.004195,0.001819,0.003187,0.001758,48
active_probe_planner,hidden_mechanism,0,0.655671,0.554593,0.196976,0.192043,0.077725,0.308076,0.073236,0.016630,0.006852,0.004525,0.004512,0.001836,0.003363,0.002063,48
active_probe_planner,hidden_mechanism,1,0.657118,0.550743,0.197600,0.192505,0.077553,0.308527,0.072445,0.016153,0.006876,0.004728,0.004271,0.001753,0.003343,0.002082,48
active_probe_planner,hidden_mechanism,2,0.651620,0.549758,0.195951,0.193921,0.078181,0.309425,0.073576,0.020502,0.006554,0.004760,0.004557,0.001698,0.002904,0.001782,48
active_probe_planner,hidden_mechanism,3,0.651620,0.552018,0.196525,0.191324,0.077756,0.308603,0.073567,0.019801,0.006781,0.004939,0.004435,0.001683,0.003438,0.002006,48
active_probe_planner,hidden_mechanism,4,0.655093,0.553371,0.198637,0.192562,0.077987,0.308133,0.073170,0.019859,0.006914,0.004579,0.004575,0.001848,0.003221,0.001904,48
active_probe_planner,hidden_mechanism,5,0.656539,0.553528,0.197317,0.192935,0.078275,0.308863,0.072909,0.018970,0.007155,0.004622,0.005069,0.001815,0.002884,0.002096,48
active_probe_planner,hidden_mechanism,6,0.661748,0.552786,0.198110,0.191160,0.077557,0.308239,0.073151,0.019086,0.007524,0.004419,0.004754,0.001645,0.003100,0.002027,48
active_probe_planner,in_distribution,0,0.689525,0.571142,0.182356,0.178349,0.073579,0.298805,0.065905,0.015852,0.007533,0.004096,0.004749,0.001913,0.003319,0.001891,48
active_probe_planner,in_distribution,1,0.678819,0.572161,0.181517,0.178870,0.073945,0.298896,0.066202,0.018190,0.006705,0.004834,0.004645,0.001699,0.003441,0.002020,48
active_probe_planner,in_distribution,2,0.692708,0.573887,0.182035,0.177776,0.073907,0.298603,0.066973,0.016995,0.007299,0.004312,0.004480,0.001983,0.003185,0.002021,48
active_probe_planner,in_distribution,3,0.684606,0.573165,0.181886,0.179757,0.073380,0.298805,0.066757,0.017477,0.006689,0.004616,0.004706,0.001807,0.003220,0.002096,48
active_probe_planner,in_distribution,4,0.679398,0.573895,0.181622,0.177775,0.073484,0.299780,0.066556,0.015289,0.006712,0.004484,0.004558,0.001811,0.003114,0.002158,48
active_probe_planner,in_distribution,5,0.684317,0.573032,0.180706,0.177004,0.074105,0.299373,0.066429,0.018830,0.007535,0.004569,0.004512,0.001881,0.003304,0.001877,48
active_probe_planner,in_distribution,6,0.699942,0.572256,0.182083,0.179145,0.073065,0.298925,0.066776,0.013725,0.007018,0.004651,0.004139,0.001880,0.003477,0.002070,48
active_probe_planner,long_horizon,0,0.645544,0.558271,0.195072,0.188366,0.076615,0.307023,0.072114,0.018922,0.006665,0.004834,0.004234,0.001693,0.002960,0.001942,48
active_probe_planner,long_horizon,1,0.649016,0.554474,0.195781,0.188938,0.077293,0.307542,0.070725,0.017360,0.007371,0.004605,0.004208,0.001869,0.003476,0.001724,48
active_probe_planner,long_horizon,2,0.632234,0.556420,0.193851,0.188924,0.076138,0.306439,0.071570,0.015464,0.007493,0.004655,0.004655,0.001691,0.003370,0.002100,48
active_probe_planner,long_horizon,3,0.629919,0.555225,0.193532,0.189160,0.076854,0.306254,0.071163,0.019155,0.006946,0.004616,0.004281,0.001939,0.003229,0.001959,48
active_probe_planner,long_horizon,4,0.636863,0.555209,0.193360,0.189232,0.076647,0.306714,0.071761,0.015464,0.006887,0.004820,0.004807,0.001765,0.003266,0.001928,48
active_probe_planner,long_horizon,5,0.635127,0.557836,0.194186,0.189317,0.076418,0.305876,0.071248,0.018228,0.006322,0.004634,0.004832,0.001875,0.002950,0.001726,48
active_probe_planner,long_horizon,6,0.637153,0.558192,0.193778,0.189453,0.077147,0.306663,0.070895,0.017509,0.006782,0.004552,0.004757,0.001724,0.002987,0.002054,48
active_probe_planner,sparse_observation,0,0.632234,0.532134,0.213150,0.205848,0.082225,0.318718,0.080184,0.018051,0.006810,0.004420,0.004309,0.001999,0.003172,0.001934,48
active_probe_planner,sparse_observation,1,0.638021,0.530364,0.214709,0.207286,0.082264,0.317273,0.080963,0.018041,0.006156,0.004493,0.004270,0.001813,0.003326,0.001864,48
active_probe_planner,sparse_observation,2,0.634838,0.531274,0.213967,0.205914,0.082688,0.318261,0.080020,0.016709,0.006730,0.004886,0.004220,0.001567,0.003420,0.001958,48
active_probe_planner,sparse_observation,3,0.635706,0.531747,0.213348,0.206712,0.082216,0.319450,0.079658,0.021062,0.006533,0.004473,0.004007,0.001800,0.003050,0.002060,48
active_probe_planner,sparse_observation,4,0.627025,0.531339,0.213141,0.206145,0.082990,0.318920,0.079659,0.018412,0.006617,0.004572,0.004601,0.001628,0.003037,0.001839,48
active_probe_planner,sparse_observation,5,0.640625,0.531777,0.212515,0.207146,0.082751,0.318944,0.079826,0.020849,0.006349,0.004250,0.004658,0.001772,0.003060,0.001918,48
active_probe_planner,sparse_observation,6,0.616030,0.530728,0.213904,0.207426,0.082554,0.317899,0.080537,0.021252,0.006939,0.004388,0.004530,0.001978,0.003038,0.001985,48
conformal_risk_filter,combined_stress,0,0.539062,0.417877,0.244503,0.250474,0.091007,0.215360,0.089258,0.019798,0.007367,0.005158,0.005307,0.001919,0.002372,0.002269,48
conformal_risk_filter,combined_stress,1,0.532118,0.414802,0.246342,0.250270,0.090322,0.214209,0.090535,0.021811,0.007049,0.005424,0.005030,0.002042,0.002392,0.002318,48
conformal_risk_filter,combined_stress,2,0.554398,0.416219,0.245287,0.251318,0.089686,0.214743,0.089391,0.022136,0.006676,0.004933,0.005346,0.001976,0.002740,0.002149,48
conformal_risk_filter,combined_stress,3,0.547454,0.412258,0.244555,0.250456,0.089683,0.215270,0.089346,0.022966,0.005914,0.004990,0.005332,0.002105,0.002622,0.002254,48
conformal_risk_filter,combined_stress,4,0.532118,0.417415,0.245228,0.250596,0.090477,0.214737,0.089245,0.022726,0.006046,0.005165,0.004910,0.002181,0.002410,0.002672,48
conformal_risk_filter,combined_stress,5,0.543692,0.418570,0.244326,0.251261,0.090706,0.214701,0.089363,0.017059,0.006071,0.004939,0.005185,0.001808,0.002482,0.002161,48
conformal_risk_filter,combined_stress,6,0.537616,0.412466,0.245622,0.251055,0.090763,0.214831,0.089233,0.019128,0.006701,0.004786,0.004696,0.001985,0.002656,0.002449,48
conformal_risk_filter,hidden_mechanism,0,0.603588,0.440306,0.223729,0.231517,0.085199,0.207284,0.081728,0.015335,0.006181,0.004927,0.005541,0.001915,0.002453,0.002297,48
conformal_risk_filter,hidden_mechanism,1,0.598380,0.438990,0.225762,0.232809,0.085260,0.207011,0.082305,0.020358,0.006006,0.004841,0.005065,0.001864,0.002460,0.002197,48
conformal_risk_filter,hidden_mechanism,2,0.584201,0.441171,0.225543,0.231934,0.085309,0.206996,0.082473,0.022307,0.006325,0.005169,0.005180,0.002062,0.002508,0.002203,48
conformal_risk_filter,hidden_mechanism,3,0.578125,0.438485,0.225831,0.233234,0.084539,0.207061,0.082478,0.019947,0.006089,0.004961,0.005378,0.002087,0.002315,0.002521,48
conformal_risk_filter,hidden_mechanism,4,0.598958,0.439891,0.226273,0.232064,0.084800,0.207504,0.082590,0.017033,0.006551,0.005165,0.005734,0.002124,0.002532,0.002370,48
conformal_risk_filter,hidden_mechanism,5,0.582755,0.439116,0.224989,0.231892,0.085524,0.207358,0.082401,0.016885,0.006161,0.005128,0.005097,0.002146,0.002421,0.002295,48
conformal_risk_filter,hidden_mechanism,6,0.570602,0.441384,0.225869,0.232969,0.086239,0.206909,0.082125,0.019818,0.006346,0.004885,0.005000,0.002233,0.002512,0.002236,48
conformal_risk_filter,in_distribution,0,0.646123,0.458259,0.209182,0.215894,0.079938,0.200288,0.075014,0.017795,0.006428,0.004827,0.005102,0.001907,0.002876,0.002217,48
conformal_risk_filter,in_distribution,1,0.642650,0.460362,0.208776,0.215730,0.080141,0.199306,0.075212,0.018532,0.006518,0.004786,0.005421,0.002032,0.002487,0.002264,48
conformal_risk_filter,in_distribution,2,0.631366,0.460738,0.208709,0.216154,0.079988,0.200521,0.074982,0.018624,0.006670,0.005100,0.005333,0.001835,0.002190,0.002244,48
conformal_risk_filter,in_distribution,3,0.641782,0.459492,0.208869,0.215879,0.079264,0.200337,0.076302,0.018782,0.006768,0.005325,0.005236,0.001896,0.002647,0.002125,48
conformal_risk_filter,in_distribution,4,0.624711,0.458664,0.209569,0.214475,0.079917,0.200182,0.075382,0.019461,0.006633,0.005069,0.005230,0.001936,0.002310,0.002534,48
