method,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
oracle_mechanism_repair,0.929688,0.826593,0.053380,0.041400,0.028864,0.154283,0.024057,0.074516,0.001760,0.046568,0.000029,1.023715,0.005115,0.000340,0.000204,0.000180,0.000087,0.000093,0.000098,0.000161,0.000057,0.000117,0.000007,0.005131,9600
counterfactual_mechanism_audit_v5,0.805833,0.704979,0.104037,0.090293,0.051319,0.194989,0.043032,0.140688,0.048434,0.087484,0.041053,0.684629,0.007913,0.000383,0.000235,0.000210,0.000096,0.000107,0.000104,0.000225,0.000135,0.000188,0.000156,0.007960,9600
proposed_failed_rollout_audit_v4_1,0.706146,0.616632,0.144496,0.128515,0.064013,0.234071,0.062529,0.122756,0.103006,0.132294,0.103859,0.420947,0.009113,0.000441,0.000260,0.000231,0.000102,0.000123,0.000113,0.000211,0.000158,0.000213,0.000180,0.009189,9600
causal_query_repair,0.636875,0.551639,0.177882,0.174135,0.075768,0.281751,0.072916,0.128907,0.143434,0.171050,0.149705,0.203920,0.009621,0.000493,0.000282,0.000260,0.000108,0.000149,0.000120,0.000224,0.000180,0.000239,0.000202,0.009718,9600
active_probe_planner,0.607500,0.519157,0.200575,0.189567,0.081661,0.310746,0.076673,0.110821,0.158613,0.182966,0.166594,0.107574,0.009769,0.000526,0.000293,0.000266,0.000111,0.000160,0.000122,0.000210,0.000186,0.000244,0.000209,0.009879,9600
pets_latent_mpc,0.596771,0.490878,0.198773,0.184958,0.079678,0.243086,0.091380,0.110314,0.162839,0.186441,0.173177,0.104318,0.009813,0.000542,0.000293,0.000258,0.000111,0.000142,0.000132,0.000206,0.000194,0.000255,0.000219,0.009929,9600
failure_classifier_repair,0.548958,0.433917,0.228506,0.223884,0.086706,0.233800,0.084457,0.126940,0.178002,0.202086,0.188309,-0.034462,0.009955,0.000581,0.000320,0.000289,0.000117,0.000136,0.000124,0.000223,0.000202,0.000261,0.000225,0.010059,9600
conformal_risk_filter,0.486979,0.360931,0.241227,0.237896,0.087538,0.210176,0.081476,0.210614,0.160174,0.203633,0.167962,-0.141391,0.009999,0.000638,0.000313,0.000289,0.000117,0.000136,0.000125,0.000314,0.000189,0.000248,0.000213,0.010144,9600
ensemble_disagreement_planner,0.469271,0.345091,0.268663,0.253197,0.098689,0.186936,0.100162,0.134001,0.197938,0.225529,0.211463,-0.225334,0.009984,0.000645,0.000339,0.000310,0.000126,0.000124,0.000140,0.000234,0.000215,0.000277,0.000240,0.010152,9600
scalar_uncertainty_planner,0.417708,0.284414,0.292161,0.273408,0.104381,0.151603,0.111129,0.122112,0.216106,0.242110,0.232140,-0.345458,0.009866,0.000667,0.000358,0.000321,0.000129,0.000116,0.000147,0.000224,0.000229,0.000293,0.000255,0.010037,9600
data_augmented_world_model,0.340833,0.212459,0.340836,0.314378,0.121701,0.107124,0.135933,0.069545,0.256811,0.280207,0.277740,-0.557309,0.009482,0.000723,0.000394,0.000345,0.000141,0.000105,0.000160,0.000167,0.000254,0.000321,0.000282,0.009717,9600
observed_only_planner,0.242917,0.108622,0.399234,0.362573,0.137906,0.078264,0.159165,0.057850,0.295068,0.319645,0.320802,-0.824897,0.008579,0.000777,0.000423,0.000374,0.000151,0.000098,0.000174,0.000159,0.000271,0.000342,0.000301,0.008885,9600
