method,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
oracle_mechanism_repair,0.927917,0.837093,0.044058,0.034467,0.025636,0.152070,0.021176,0.068652,0.001003,0.043677,0.000015,1.046764,0.003658,0.000285,0.000204,0.000166,0.000082,0.000074,0.000083,0.000147,0.000032,0.000088,0.000003,0.003688,19200
counterfactual_mechanism_audit_v5,0.813490,0.720143,0.092611,0.081133,0.047269,0.191668,0.039522,0.130560,0.042623,0.079376,0.034638,0.727986,0.005510,0.000355,0.000244,0.000204,0.000095,0.000091,0.000092,0.000224,0.000133,0.000186,0.000151,0.005582,19200
proposed_failed_rollout_audit_v4_1,0.728125,0.635900,0.131686,0.118026,0.059569,0.229381,0.058301,0.113397,0.095644,0.122528,0.095837,0.484383,0.006294,0.000432,0.000272,0.000229,0.000102,0.000114,0.000104,0.000209,0.000163,0.000218,0.000181,0.006414,19200
causal_query_repair,0.666302,0.574325,0.163611,0.161886,0.070987,0.275418,0.068260,0.118755,0.134652,0.159729,0.140162,0.280830,0.006670,0.000502,0.000299,0.000263,0.000108,0.000144,0.000111,0.000224,0.000189,0.000247,0.000208,0.006830,19200
pets_latent_mpc,0.630573,0.516690,0.184011,0.172711,0.074669,0.237344,0.085745,0.101345,0.153266,0.174143,0.162711,0.187977,0.006827,0.000565,0.000310,0.000262,0.000112,0.000134,0.000129,0.000202,0.000204,0.000265,0.000227,0.007008,19200
active_probe_planner,0.634062,0.543683,0.185841,0.176916,0.076668,0.303849,0.071821,0.101620,0.149359,0.171202,0.156562,0.183593,0.006814,0.000539,0.000308,0.000269,0.000113,0.000155,0.000115,0.000206,0.000198,0.000255,0.000218,0.006979,19200
failure_classifier_repair,0.588281,0.461952,0.212176,0.209888,0.081342,0.228318,0.079420,0.116813,0.167834,0.189349,0.177354,0.058864,0.006962,0.000614,0.000340,0.000296,0.000120,0.000129,0.000118,0.000224,0.000216,0.000274,0.000236,0.007169,19200
conformal_risk_filter,0.536771,0.392059,0.225228,0.223949,0.082171,0.204693,0.076434,0.195133,0.150831,0.191689,0.157819,-0.036339,0.007054,0.000682,0.000334,0.000296,0.000120,0.000128,0.000118,0.000326,0.000200,0.000259,0.000221,0.007306,19200
ensemble_disagreement_planner,0.521563,0.376542,0.251081,0.237958,0.092747,0.182326,0.094272,0.123230,0.186949,0.211728,0.199523,-0.114296,0.007066,0.000689,0.000364,0.000320,0.000131,0.000113,0.000134,0.000235,0.000231,0.000294,0.000255,0.007338,19200
scalar_uncertainty_planner,0.472500,0.317285,0.273651,0.257439,0.098240,0.147525,0.104586,0.111901,0.204399,0.227469,0.219399,-0.229266,0.007062,0.000720,0.000383,0.000334,0.000134,0.000103,0.000146,0.000224,0.000246,0.000311,0.000270,0.007356,19200
data_augmented_world_model,0.404583,0.248346,0.320366,0.297000,0.114767,0.103881,0.128539,0.063121,0.243658,0.263965,0.263452,-0.427022,0.006943,0.000786,0.000423,0.000361,0.000149,0.000089,0.000162,0.000156,0.000275,0.000343,0.000301,0.007326,19200
observed_only_planner,0.318125,0.147257,0.377186,0.343628,0.130384,0.075484,0.150947,0.052068,0.280934,0.302192,0.305333,-0.678120,0.006588,0.000849,0.000455,0.000392,0.000161,0.000081,0.000177,0.000145,0.000294,0.000366,0.000324,0.007069,19200
