budget,method,mean_coverage,ci95_coverage,mean_breach_rate,ci95_breach_rate,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,rows
0.050000,active_probe_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.050000,causal_query_repair,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.050000,conformal_risk_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.050000,counterfactual_mechanism_audit_v5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.050000,oracle_mechanism_repair,0.332292,0.013742,0.000000,0.000000,0.923859,0.016800,0.993231,0.017708,10
0.050000,proposed_failed_rollout_audit_v4_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.050000,scalar_uncertainty_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,active_probe_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,causal_query_repair,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,conformal_risk_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,counterfactual_mechanism_audit_v5,0.625521,0.009405,0.000000,0.000000,0.789120,0.025804,0.628500,0.025752,10
0.100000,oracle_mechanism_repair,1.000000,0.000000,0.000000,0.000000,0.934375,0.007007,0.996222,0.007065,10
0.100000,proposed_failed_rollout_audit_v4_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,scalar_uncertainty_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,active_probe_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,causal_query_repair,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,conformal_risk_filter,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,counterfactual_mechanism_audit_v5,1.000000,0.000000,0.000000,0.000000,0.789844,0.014134,0.623726,0.014209,10
0.150000,oracle_mechanism_repair,1.000000,0.000000,0.000000,0.000000,0.934375,0.007007,0.996222,0.007065,10
0.150000,proposed_failed_rollout_audit_v4_1,0.779948,0.012439,0.000000,0.000000,0.686718,0.015973,0.352737,0.016088,10
0.150000,scalar_uncertainty_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.200000,active_probe_planner,0.575781,0.015987,0.000000,0.000000,0.551088,0.022965,-0.002168,0.023051,10
0.200000,causal_query_repair,0.990104,0.003210,0.000000,0.000000,0.586588,0.013206,0.093221,0.013348,10
0.200000,conformal_risk_filter,0.005208,0.002636,0.000000,0.000000,0.315000,0.271762,-0.355292,0.295148,10
0.200000,counterfactual_mechanism_audit_v5,1.000000,0.000000,0.000000,0.000000,0.789844,0.014134,0.623726,0.014209,10
0.200000,oracle_mechanism_repair,1.000000,0.000000,0.000000,0.000000,0.934375,0.007007,0.996222,0.007065,10
0.200000,proposed_failed_rollout_audit_v4_1,1.000000,0.000000,0.000000,0.000000,0.679427,0.015527,0.341440,0.015577,10
0.200000,scalar_uncertainty_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
