ablation,task,regime,seed,success_rate,interpretation
full_failed_rollout_audit,drawer_contact_repair,nominal,0,0.736111,all components
full_failed_rollout_audit,drawer_contact_repair,nominal,1,0.847222,all components
full_failed_rollout_audit,drawer_contact_repair,nominal,2,0.805556,all components
full_failed_rollout_audit,drawer_contact_repair,nominal,3,0.777778,all components
full_failed_rollout_audit,drawer_contact_repair,nominal,4,0.791667,all components
full_failed_rollout_audit,drawer_contact_repair,nominal,5,0.819444,all components
full_failed_rollout_audit,drawer_contact_repair,nominal,6,0.791667,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,0,0.861111,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,1,0.791667,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,2,0.680556,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,3,0.708333,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,4,0.819444,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,5,0.805556,all components
full_failed_rollout_audit,drawer_contact_repair,friction_shift,6,0.777778,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,0,0.736111,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,1,0.750000,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,2,0.805556,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,3,0.805556,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,4,0.694444,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,5,0.666667,all components
full_failed_rollout_audit,drawer_contact_repair,compliance_shift,6,0.652778,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,0,0.777778,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,1,0.736111,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,2,0.722222,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,3,0.736111,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,4,0.708333,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,5,0.583333,all components
full_failed_rollout_audit,drawer_contact_repair,occlusion_persistence,6,0.638889,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,0,0.638889,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,1,0.763889,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,2,0.638889,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,3,0.750000,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,4,0.750000,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,5,0.736111,all components
full_failed_rollout_audit,drawer_contact_repair,contact_mode_flip,6,0.777778,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,0,0.833333,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,1,0.680556,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,2,0.722222,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,3,0.791667,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,4,0.763889,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,5,0.777778,all components
full_failed_rollout_audit,drawer_contact_repair,actuator_lag,6,0.750000,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,0,0.722222,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,1,0.694444,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,2,0.666667,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,3,0.736111,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,4,0.763889,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,5,0.722222,all components
full_failed_rollout_audit,drawer_contact_repair,payload_shift,6,0.750000,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,0,0.611111,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,1,0.666667,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,2,0.722222,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,3,0.722222,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,4,0.569444,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,5,0.763889,all components
full_failed_rollout_audit,drawer_contact_repair,combined_hidden_mechanisms,6,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,0,0.875000,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,1,0.666667,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,2,0.736111,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,3,0.805556,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,4,0.791667,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,5,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,nominal,6,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,0,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,1,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,2,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,3,0.611111,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,4,0.736111,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,5,0.763889,all components
full_failed_rollout_audit,deformable_bin_pick,friction_shift,6,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,0,0.736111,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,1,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,2,0.625000,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,3,0.652778,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,4,0.750000,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,5,0.708333,all components
full_failed_rollout_audit,deformable_bin_pick,compliance_shift,6,0.694444,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,0,0.805556,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,1,0.750000,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,2,0.736111,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,3,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,4,0.736111,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,5,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,occlusion_persistence,6,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,0,0.611111,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,1,0.694444,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,2,0.638889,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,3,0.597222,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,4,0.652778,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,5,0.666667,all components
full_failed_rollout_audit,deformable_bin_pick,contact_mode_flip,6,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,0,0.708333,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,1,0.763889,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,2,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,3,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,4,0.694444,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,5,0.666667,all components
full_failed_rollout_audit,deformable_bin_pick,actuator_lag,6,0.763889,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,0,0.736111,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,1,0.666667,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,2,0.680556,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,3,0.625000,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,4,0.763889,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,5,0.666667,all components
full_failed_rollout_audit,deformable_bin_pick,payload_shift,6,0.833333,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,0,0.611111,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,1,0.555556,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,2,0.722222,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,3,0.611111,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,4,0.652778,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,5,0.597222,all components
full_failed_rollout_audit,deformable_bin_pick,combined_hidden_mechanisms,6,0.652778,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,0,0.819444,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,1,0.791667,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,2,0.763889,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,3,0.833333,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,4,0.708333,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,5,0.861111,all components
full_failed_rollout_audit,occluded_push_recovery,nominal,6,0.875000,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,0,0.750000,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,1,0.708333,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,2,0.819444,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,3,0.722222,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,4,0.638889,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,5,0.708333,all components
full_failed_rollout_audit,occluded_push_recovery,friction_shift,6,0.791667,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,0,0.791667,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,1,0.708333,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,2,0.666667,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,3,0.791667,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,4,0.777778,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,5,0.763889,all components
full_failed_rollout_audit,occluded_push_recovery,compliance_shift,6,0.750000,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,0,0.666667,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,1,0.625000,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,2,0.652778,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,3,0.763889,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,4,0.666667,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,5,0.763889,all components
full_failed_rollout_audit,occluded_push_recovery,occlusion_persistence,6,0.680556,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,0,0.750000,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,1,0.680556,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,2,0.680556,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,3,0.680556,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,4,0.708333,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,5,0.777778,all components
full_failed_rollout_audit,occluded_push_recovery,contact_mode_flip,6,0.708333,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,0,0.694444,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,1,0.777778,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,2,0.694444,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,3,0.694444,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,4,0.652778,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,5,0.763889,all components
full_failed_rollout_audit,occluded_push_recovery,actuator_lag,6,0.791667,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,0,0.694444,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,1,0.763889,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,2,0.680556,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,3,0.486111,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,4,0.722222,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,5,0.694444,all components
full_failed_rollout_audit,occluded_push_recovery,payload_shift,6,0.722222,all components
full_failed_rollout_audit,occluded_push_recovery,combined_hidden_mechanisms,0,0.708333,all components
