ablation,interpretation,seed,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
minus_active_probe_value,does not value diagnostic probes,0,0.776042,0.673382,0.104502,0.095202,0.053346,0.222399,0.045492,0.144738,0.051499,0.092443,0.044418,0.625387,0.041753,0.001996,0.001322,0.000959,0.000428,0.000560,0.000374,0.000993,0.000620,0.000765,0.000729,0.042151,384
minus_active_probe_value,does not value diagnostic probes,1,0.799479,0.673875,0.104358,0.094860,0.053303,0.222268,0.045520,0.144815,0.051678,0.092675,0.044681,0.649331,0.040100,0.001947,0.001320,0.000944,0.000407,0.000516,0.000404,0.000934,0.000642,0.000784,0.000742,0.040095,384
minus_active_probe_value,does not value diagnostic probes,2,0.807292,0.673494,0.104754,0.094587,0.053256,0.222593,0.045045,0.144860,0.052174,0.092986,0.045010,0.656742,0.039502,0.002007,0.001287,0.000952,0.000417,0.000540,0.000372,0.000942,0.000613,0.000765,0.000701,0.039384,384
minus_active_probe_value,does not value diagnostic probes,3,0.744792,0.672978,0.104816,0.094958,0.053146,0.222472,0.045293,0.144872,0.051787,0.092981,0.044914,0.593986,0.043664,0.001910,0.001246,0.000982,0.000432,0.000554,0.000380,0.000932,0.000612,0.000767,0.000711,0.044093,384
minus_active_probe_value,does not value diagnostic probes,4,0.796875,0.673555,0.104746,0.094519,0.053469,0.222875,0.045154,0.145154,0.051796,0.092668,0.044895,0.646224,0.040293,0.001992,0.001301,0.000974,0.000437,0.000530,0.000394,0.000915,0.000598,0.000738,0.000702,0.040638,384
minus_active_probe_value,does not value diagnostic probes,5,0.770833,0.673482,0.105167,0.094543,0.053396,0.222448,0.045360,0.145293,0.051677,0.092433,0.044766,0.619894,0.042093,0.001918,0.001345,0.001014,0.000417,0.000554,0.000363,0.000956,0.000621,0.000771,0.000708,0.042450,384
minus_active_probe_value,does not value diagnostic probes,6,0.778646,0.673362,0.105163,0.094520,0.053125,0.222522,0.045230,0.144995,0.051539,0.092249,0.044425,0.628168,0.041579,0.001891,0.001308,0.000983,0.000416,0.000558,0.000359,0.000944,0.000598,0.000757,0.000670,0.041775,384
minus_active_probe_value,does not value diagnostic probes,7,0.804688,0.673224,0.104944,0.095012,0.053268,0.222590,0.045191,0.145047,0.051457,0.092260,0.044396,0.653872,0.039704,0.001997,0.001344,0.000953,0.000420,0.000551,0.000376,0.000930,0.000638,0.000772,0.000737,0.039901,384
minus_active_probe_value,does not value diagnostic probes,8,0.783854,0.673603,0.104724,0.095386,0.053075,0.222556,0.045412,0.144553,0.051775,0.092765,0.044707,0.633067,0.041224,0.002051,0.001295,0.000972,0.000411,0.000550,0.000342,0.000939,0.000616,0.000761,0.000712,0.041518,384
minus_active_probe_value,does not value diagnostic probes,9,0.794271,0.672789,0.104559,0.095424,0.053162,0.222567,0.045191,0.144929,0.051719,0.092770,0.044430,0.643315,0.040485,0.001903,0.001331,0.000928,0.000422,0.000527,0.000371,0.000946,0.000607,0.000754,0.000690,0.040968,384
minus_budget_controller,removes probe-budget controller,0,0.807292,0.705790,0.108463,0.100182,0.058406,0.235716,0.049295,0.137382,0.118686,0.160407,0.119858,0.607237,0.039502,0.002044,0.001313,0.000984,0.000426,0.000537,0.000377,0.000955,0.000602,0.000739,0.000690,0.039706,384
minus_budget_controller,removes probe-budget controller,1,0.791667,0.705024,0.108941,0.100082,0.058566,0.235623,0.049625,0.137274,0.118773,0.160739,0.119632,0.590638,0.040673,0.002022,0.001282,0.000895,0.000396,0.000542,0.000376,0.000924,0.000603,0.000756,0.000711,0.040647,384
minus_budget_controller,removes probe-budget controller,2,0.796875,0.705956,0.108941,0.100143,0.058118,0.235520,0.049255,0.137495,0.119024,0.161247,0.120113,0.596611,0.040293,0.001823,0.001277,0.000930,0.000422,0.000558,0.000388,0.000918,0.000616,0.000790,0.000752,0.040558,384
minus_budget_controller,removes probe-budget controller,3,0.794271,0.705651,0.109286,0.099990,0.058434,0.235722,0.049383,0.137201,0.119128,0.161074,0.120348,0.593236,0.040485,0.001961,0.001305,0.000989,0.000430,0.000577,0.000387,0.000909,0.000620,0.000753,0.000696,0.040982,384
minus_budget_controller,removes probe-budget controller,4,0.802083,0.705965,0.108674,0.099657,0.058362,0.236168,0.049426,0.137237,0.118872,0.160766,0.120045,0.602052,0.039903,0.001872,0.001212,0.000978,0.000437,0.000548,0.000351,0.000960,0.000571,0.000701,0.000656,0.040160,384
minus_budget_controller,removes probe-budget controller,5,0.796875,0.705733,0.108757,0.099065,0.058334,0.235992,0.049422,0.137630,0.119010,0.161109,0.120178,0.597069,0.040293,0.001976,0.001294,0.000968,0.000407,0.000561,0.000375,0.000934,0.000605,0.000725,0.000719,0.040288,384
minus_budget_controller,removes probe-budget controller,6,0.776042,0.705146,0.109192,0.099895,0.058637,0.235574,0.049170,0.137256,0.119294,0.161343,0.120463,0.574826,0.041753,0.001975,0.001256,0.000953,0.000416,0.000560,0.000408,0.000936,0.000629,0.000780,0.000737,0.042179,384
minus_budget_controller,removes probe-budget controller,7,0.830729,0.704951,0.108730,0.099706,0.058099,0.235760,0.049737,0.137319,0.119516,0.161298,0.120543,0.630066,0.037556,0.001973,0.001314,0.000994,0.000428,0.000531,0.000394,0.000941,0.000604,0.000764,0.000731,0.037683,384
minus_budget_controller,removes probe-budget controller,8,0.789062,0.705688,0.109244,0.099842,0.058192,0.235663,0.049668,0.137092,0.119082,0.160914,0.120221,0.588363,0.040859,0.001893,0.001258,0.000967,0.000429,0.000547,0.000367,0.000939,0.000619,0.000770,0.000731,0.041264,384
minus_budget_controller,removes probe-budget controller,9,0.783854,0.705983,0.109226,0.100064,0.058370,0.235972,0.049384,0.137164,0.118791,0.160539,0.119953,0.583144,0.041224,0.001980,0.001296,0.000977,0.000413,0.000528,0.000387,0.000958,0.000628,0.000796,0.000745,0.041545,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,0,0.763021,0.706573,0.117153,0.104918,0.053521,0.194368,0.075546,0.144991,0.072949,0.090509,0.071034,0.582650,0.042587,0.001987,0.001288,0.000976,0.000429,0.000550,0.000401,0.000978,0.000643,0.000794,0.000743,0.043140,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,1,0.760417,0.704967,0.117328,0.104882,0.053622,0.194449,0.075520,0.145161,0.072954,0.090262,0.071215,0.579215,0.042748,0.001943,0.001323,0.000970,0.000433,0.000576,0.000347,0.000945,0.000628,0.000785,0.000728,0.043304,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,2,0.773438,0.705420,0.116640,0.104568,0.053632,0.194568,0.075285,0.145219,0.072869,0.090430,0.070914,0.593390,0.041924,0.001923,0.001303,0.000992,0.000411,0.000564,0.000390,0.000981,0.000645,0.000826,0.000750,0.041859,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,3,0.770833,0.705934,0.116252,0.104606,0.053356,0.194327,0.075129,0.145056,0.072820,0.090330,0.070898,0.591800,0.042093,0.001911,0.001269,0.000985,0.000415,0.000571,0.000365,0.000960,0.000607,0.000764,0.000713,0.042518,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,4,0.799479,0.704857,0.117001,0.104441,0.053316,0.194490,0.075319,0.144738,0.072897,0.090516,0.071234,0.619423,0.040100,0.001977,0.001270,0.000973,0.000418,0.000565,0.000375,0.000925,0.000596,0.000765,0.000705,0.040330,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,5,0.799479,0.706044,0.116945,0.104793,0.053047,0.194856,0.075163,0.145198,0.072904,0.090222,0.071100,0.619764,0.040100,0.001956,0.001322,0.000992,0.000418,0.000543,0.000381,0.000931,0.000616,0.000764,0.000736,0.040630,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,6,0.750000,0.706112,0.116978,0.104912,0.053324,0.194486,0.075520,0.144791,0.072848,0.090246,0.071278,0.569929,0.043367,0.001980,0.001312,0.001007,0.000431,0.000540,0.000395,0.000949,0.000644,0.000797,0.000741,0.043609,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,7,0.742188,0.705840,0.116946,0.105064,0.053196,0.194673,0.075195,0.145233,0.072943,0.090735,0.070975,0.562040,0.043809,0.001953,0.001310,0.000961,0.000438,0.000545,0.000396,0.000959,0.000632,0.000781,0.000740,0.044014,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,8,0.786458,0.705290,0.116855,0.104527,0.053162,0.194356,0.075010,0.145240,0.072463,0.089940,0.070474,0.607163,0.041043,0.001920,0.001311,0.000995,0.000430,0.000573,0.000372,0.000949,0.000582,0.000725,0.000674,0.040988,384
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,9,0.744792,0.705987,0.116808,0.105062,0.053348,0.194460,0.075481,0.144807,0.072700,0.090345,0.070693,0.564812,0.043664,0.001959,0.001295,0.000947,0.000428,0.000553,0.000383,0.000944,0.000626,0.000770,0.000710,0.043723,384
minus_counterfactual_replay,removes counterfactual replay,0,0.765625,0.706334,0.104722,0.114792,0.053377,0.194706,0.045423,0.145045,0.050772,0.091871,0.043901,0.619408,0.042425,0.001903,0.001318,0.000980,0.000440,0.000560,0.000364,0.000940,0.000615,0.000761,0.000705,0.042736,384
minus_counterfactual_replay,removes counterfactual replay,1,0.768229,0.704353,0.104574,0.115054,0.053079,0.194507,0.045358,0.144940,0.051090,0.091955,0.044163,0.621495,0.042260,0.001988,0.001278,0.000964,0.000416,0.000554,0.000362,0.000938,0.000607,0.000765,0.000717,0.042583,384
minus_counterfactual_replay,removes counterfactual replay,2,0.770833,0.703996,0.104054,0.114845,0.053322,0.194462,0.045104,0.144997,0.050987,0.091921,0.043928,0.624569,0.042093,0.001972,0.001300,0.000965,0.000425,0.000580,0.000396,0.000961,0.000607,0.000774,0.000717,0.042503,384
minus_counterfactual_replay,removes counterfactual replay,3,0.773438,0.705297,0.105184,0.114742,0.053327,0.194915,0.045381,0.145109,0.050926,0.091701,0.043945,0.626382,0.041924,0.001915,0.001262,0.000981,0.000434,0.000568,0.000394,0.000971,0.000635,0.000782,0.000707,0.041971,384
minus_counterfactual_replay,removes counterfactual replay,4,0.781250,0.705195,0.105151,0.114705,0.053134,0.194333,0.045206,0.145035,0.050772,0.091989,0.043714,0.634804,0.041402,0.001950,0.001305,0.000986,0.000426,0.000560,0.000403,0.000944,0.000623,0.000796,0.000729,0.041713,384
minus_counterfactual_replay,removes counterfactual replay,5,0.820312,0.706019,0.105202,0.114648,0.053433,0.194608,0.045442,0.144833,0.050994,0.091885,0.044014,0.673520,0.038451,0.001905,0.001300,0.000950,0.000445,0.000572,0.000359,0.000952,0.000626,0.000786,0.000720,0.038988,384
minus_counterfactual_replay,removes counterfactual replay,6,0.744792,0.706221,0.104899,0.114697,0.053291,0.194598,0.045581,0.144999,0.050511,0.091653,0.043364,0.598660,0.043664,0.001905,0.001335,0.000936,0.000425,0.000557,0.000381,0.000942,0.000624,0.000792,0.000703,0.044155,384
minus_counterfactual_replay,removes counterfactual replay,7,0.799479,0.705639,0.104631,0.114429,0.053437,0.195000,0.045164,0.144785,0.050835,0.092077,0.043787,0.653393,0.040100,0.001925,0.001289,0.000968,0.000411,0.000552,0.000381,0.000938,0.000610,0.000760,0.000709,0.040160,384
minus_counterfactual_replay,removes counterfactual replay,8,0.773438,0.705501,0.104999,0.114794,0.053227,0.194673,0.045237,0.145160,0.050835,0.091833,0.044093,0.626885,0.041924,0.001937,0.001291,0.000927,0.000444,0.000554,0.000390,0.000920,0.000608,0.000779,0.000680,0.042500,384
minus_counterfactual_replay,removes counterfactual replay,9,0.736979,0.705566,0.104234,0.114700,0.053192,0.194670,0.045300,0.144878,0.050724,0.091640,0.043787,0.591357,0.044094,0.001977,0.001292,0.000958,0.000405,0.000552,0.000372,0.000950,0.000603,0.000735,0.000713,0.044519,384
minus_failed_rollout_traces,removes failed-rollout evidence,0,0.734375,0.655278,0.122741,0.094770,0.053305,0.194599,0.045043,0.144970,0.050956,0.092064,0.044005,0.570049,0.044233,0.001966,0.001259,0.000980,0.000428,0.000529,0.000397,0.000974,0.000604,0.000764,0.000699,0.044515,384
minus_failed_rollout_traces,removes failed-rollout evidence,1,0.765625,0.656444,0.122988,0.094659,0.053031,0.194916,0.045540,0.145349,0.050498,0.091385,0.043223,0.601696,0.042425,0.001987,0.001266,0.000957,0.000414,0.000571,0.000372,0.000912,0.000595,0.000755,0.000708,0.042834,384
minus_failed_rollout_traces,removes failed-rollout evidence,2,0.812500,0.654951,0.122205,0.095220,0.053298,0.194398,0.045406,0.144428,0.051064,0.092244,0.044132,0.648115,0.039090,0.001929,0.001260,0.000955,0.000439,0.000602,0.000378,0.000934,0.000642,0.000803,0.000742,0.039130,384
minus_failed_rollout_traces,removes failed-rollout evidence,3,0.796875,0.655987,0.123189,0.095232,0.053144,0.194403,0.045545,0.145002,0.050568,0.091543,0.043370,0.632215,0.040293,0.001971,0.001291,0.000951,0.000414,0.000553,0.000388,0.000960,0.000620,0.000787,0.000691,0.040497,384
minus_failed_rollout_traces,removes failed-rollout evidence,4,0.809896,0.654319,0.122561,0.094932,0.053218,0.194576,0.045294,0.145045,0.050926,0.092235,0.044026,0.645249,0.039298,0.001995,0.001318,0.000982,0.000408,0.000547,0.000390,0.000950,0.000579,0.000717,0.000702,0.039348,384
minus_failed_rollout_traces,removes failed-rollout evidence,5,0.789062,0.655248,0.123460,0.094741,0.053034,0.194761,0.045684,0.145069,0.050786,0.091911,0.043796,0.624065,0.040859,0.001939,0.001308,0.000977,0.000427,0.000519,0.000394,0.000950,0.000607,0.000744,0.000704,0.040998,384
minus_failed_rollout_traces,removes failed-rollout evidence,6,0.817708,0.655199,0.122584,0.094536,0.053456,0.194957,0.045179,0.145079,0.050939,0.092009,0.043749,0.653331,0.038667,0.002053,0.001292,0.000940,0.000429,0.000559,0.000401,0.000945,0.000603,0.000772,0.000711,0.038941,384
minus_failed_rollout_traces,removes failed-rollout evidence,7,0.802083,0.654465,0.122935,0.094954,0.053291,0.194718,0.045477,0.145070,0.050449,0.091651,0.043271,0.637207,0.039903,0.001959,0.001307,0.000967,0.000430,0.000527,0.000400,0.000934,0.000628,0.000796,0.000734,0.040357,384
minus_failed_rollout_traces,removes failed-rollout evidence,8,0.765625,0.654097,0.123080,0.094446,0.053437,0.194715,0.045080,0.144905,0.051064,0.091868,0.043771,0.600588,0.042425,0.001956,0.001327,0.000978,0.000430,0.000549,0.000410,0.000978,0.000633,0.000796,0.000767,0.042508,384
minus_failed_rollout_traces,removes failed-rollout evidence,9,0.802083,0.655220,0.122271,0.095027,0.053205,0.194635,0.045279,0.144967,0.050877,0.091762,0.043698,0.637987,0.039903,0.001971,0.001264,0.000935,0.000427,0.000567,0.000373,0.000917,0.000594,0.000756,0.000693,0.040345,384
minus_freshness_guard,permits stale repair memory,0,0.776042,0.705530,0.130924,0.113339,0.053243,0.194508,0.045407,0.145223,0.050612,0.091575,0.043202,0.606854,0.041753,0.001957,0.001348,0.000960,0.000409,0.000523,0.000388,0.000959,0.000617,0.000787,0.000710,0.042150,384
minus_freshness_guard,permits stale repair memory,1,0.802083,0.705351,0.131099,0.112903,0.053212,0.194717,0.045198,0.144702,0.051090,0.091924,0.043911,0.632895,0.039903,0.001954,0.001305,0.000935,0.000421,0.000532,0.000368,0.000936,0.000639,0.000775,0.000730,0.040382,384
minus_freshness_guard,permits stale repair memory,2,0.773438,0.704694,0.130897,0.112633,0.053414,0.194147,0.045281,0.145326,0.051089,0.092170,0.043899,0.604212,0.041924,0.001959,0.001303,0.001003,0.000422,0.000573,0.000381,0.000945,0.000618,0.000765,0.000722,0.042378,384
minus_freshness_guard,permits stale repair memory,3,0.828125,0.706119,0.130685,0.112843,0.053088,0.194661,0.045395,0.144836,0.050706,0.091687,0.043771,0.659885,0.037784,0.001987,0.001285,0.000936,0.000426,0.000585,0.000356,0.000903,0.000611,0.000752,0.000693,0.038043,384
minus_freshness_guard,permits stale repair memory,4,0.786458,0.706236,0.131014,0.112716,0.053548,0.194792,0.045254,0.145158,0.050577,0.091578,0.043430,0.617626,0.041043,0.001987,0.001269,0.000971,0.000412,0.000565,0.000368,0.000935,0.000596,0.000760,0.000693,0.041407,384
minus_freshness_guard,permits stale repair memory,5,0.752604,0.706187,0.130797,0.112646,0.052948,0.194538,0.045284,0.145052,0.050774,0.092052,0.044004,0.584594,0.043215,0.002000,0.001266,0.000983,0.000412,0.000548,0.000385,0.000943,0.000627,0.000776,0.000710,0.043539,384
minus_freshness_guard,permits stale repair memory,6,0.799479,0.704978,0.130938,0.113051,0.053327,0.194780,0.045320,0.145009,0.051471,0.092119,0.044716,0.629685,0.040100,0.001970,0.001355,0.000935,0.000441,0.000561,0.000401,0.000927,0.000608,0.000771,0.000705,0.040338,384
minus_freshness_guard,permits stale repair memory,7,0.778646,0.705242,0.130908,0.112895,0.053518,0.194748,0.045530,0.145505,0.050725,0.091755,0.043565,0.609164,0.041579,0.001947,0.001309,0.000989,0.000428,0.000523,0.000364,0.000951,0.000620,0.000752,0.000725,0.041834,384
minus_freshness_guard,permits stale repair memory,8,0.781250,0.706495,0.130737,0.112836,0.053308,0.194690,0.045280,0.145206,0.050699,0.091627,0.043905,0.612848,0.041402,0.001845,0.001277,0.000988,0.000431,0.000553,0.000403,0.000929,0.000629,0.000766,0.000733,0.041574,384
minus_freshness_guard,permits stale repair memory,9,0.783854,0.704988,0.130905,0.112595,0.053489,0.194619,0.045514,0.145017,0.051143,0.092471,0.044183,0.614431,0.041224,0.001945,0.001328,0.000979,0.000451,0.000527,0.000394,0.000929,0.000620,0.000778,0.000716,0.041240,384
minus_mechanism_taxonomy,collapses mechanism labels,0,0.744792,0.624062,0.104774,0.095225,0.053477,0.194796,0.045354,0.145277,0.051102,0.092212,0.043920,0.585464,0.043664,0.001989,0.001269,0.000931,0.000422,0.000572,0.000387,0.000958,0.000638,0.000771,0.000745,0.044153,384
minus_mechanism_taxonomy,collapses mechanism labels,1,0.734375,0.623709,0.105103,0.094918,0.053137,0.194400,0.045324,0.144787,0.051295,0.092475,0.043939,0.575330,0.044233,0.001925,0.001269,0.000965,0.000401,0.000531,0.000382,0.000937,0.000643,0.000807,0.000734,0.044393,384
minus_mechanism_taxonomy,collapses mechanism labels,2,0.755208,0.623824,0.105002,0.095069,0.053156,0.194946,0.044915,0.144737,0.050559,0.091298,0.043173,0.596696,0.043061,0.002026,0.001299,0.000994,0.000417,0.000583,0.000364,0.000934,0.000614,0.000754,0.000701,0.043349,384
minus_mechanism_taxonomy,collapses mechanism labels,3,0.731771,0.623051,0.104771,0.094904,0.053386,0.194906,0.045273,0.145002,0.050743,0.091710,0.043814,0.572743,0.044371,0.001903,0.001286,0.000987,0.000415,0.000559,0.000402,0.000936,0.000643,0.000800,0.000724,0.044664,384
minus_mechanism_taxonomy,collapses mechanism labels,4,0.734375,0.623495,0.105082,0.094735,0.053521,0.194439,0.045336,0.144967,0.050583,0.091652,0.043545,0.575417,0.044233,0.001803,0.001328,0.000938,0.000415,0.000537,0.000377,0.000934,0.000609,0.000772,0.000700,0.044562,384
minus_mechanism_taxonomy,collapses mechanism labels,5,0.783854,0.623394,0.104850,0.095207,0.053269,0.194667,0.045386,0.145108,0.050910,0.091735,0.043733,0.624640,0.041224,0.001949,0.001288,0.000999,0.000419,0.000549,0.000374,0.000962,0.000594,0.000727,0.000732,0.041578,384
minus_mechanism_taxonomy,collapses mechanism labels,6,0.739583,0.623464,0.104743,0.094998,0.053303,0.194908,0.045412,0.144980,0.050825,0.091879,0.043848,0.580612,0.043953,0.001928,0.001303,0.001004,0.000421,0.000535,0.000376,0.000971,0.000632,0.000782,0.000722,0.044512,384
minus_mechanism_taxonomy,collapses mechanism labels,7,0.747396,0.623922,0.104651,0.094831,0.053136,0.194821,0.045217,0.144958,0.050971,0.091905,0.043725,0.589013,0.043516,0.001899,0.001276,0.000937,0.000416,0.000568,0.000386,0.000924,0.000605,0.000729,0.000695,0.043510,384
minus_mechanism_taxonomy,collapses mechanism labels,8,0.710938,0.623562,0.104703,0.094459,0.053673,0.194701,0.045201,0.145060,0.050961,0.091880,0.043995,0.552141,0.045401,0.002065,0.001275,0.000958,0.000422,0.000554,0.000390,0.000956,0.000666,0.000800,0.000766,0.045765,384
minus_mechanism_taxonomy,collapses mechanism labels,9,0.760417,0.623574,0.104656,0.094719,0.053485,0.194175,0.045401,0.145150,0.050850,0.091859,0.043591,0.601765,0.042748,0.002036,0.001289,0.001005,0.000417,0.000543,0.000414,0.000945,0.000608,0.000753,0.000712,0.042852,384
minus_repair_memory,forgets repaired mechanisms,0,0.783854,0.704238,0.104678,0.118735,0.053345,0.194215,0.045329,0.144858,0.050998,0.091932,0.044132,0.634013,0.041224,0.001887,0.001332,0.001009,0.000429,0.000596,0.000387,0.000965,0.000626,0.000783,0.000731,0.041297,384
minus_repair_memory,forgets repaired mechanisms,1,0.781250,0.704921,0.104901,0.118747,0.053096,0.194878,0.045392,0.145064,0.051186,0.092166,0.044076,0.631293,0.041402,0.001926,0.001262,0.000967,0.000442,0.000539,0.000387,0.000951,0.000644,0.000780,0.000751,0.041647,384
minus_repair_memory,forgets repaired mechanisms,2,0.770833,0.705308,0.105027,0.119288,0.053280,0.194678,0.045375,0.145234,0.051155,0.092152,0.044205,0.620334,0.042093,0.001986,0.001298,0.000947,0.000430,0.000580,0.000394,0.000929,0.000620,0.000787,0.000713,0.042354,384
minus_repair_memory,forgets repaired mechanisms,3,0.742188,0.705532,0.104948,0.119005,0.053422,0.194224,0.045004,0.145225,0.050700,0.091609,0.043706,0.592537,0.043809,0.001969,0.001263,0.000993,0.000432,0.000552,0.000372,0.000947,0.000627,0.000796,0.000716,0.043788,384
minus_repair_memory,forgets repaired mechanisms,4,0.799479,0.704510,0.105019,0.118866,0.053214,0.194578,0.045558,0.145340,0.051083,0.092085,0.043906,0.649069,0.040100,0.001940,0.001303,0.000956,0.000415,0.000525,0.000369,0.000878,0.000644,0.000776,0.000751,0.040092,384
minus_repair_memory,forgets repaired mechanisms,5,0.731771,0.705184,0.104358,0.118951,0.053191,0.194835,0.045529,0.144783,0.050841,0.091870,0.043767,0.582361,0.044371,0.001937,0.001301,0.000919,0.000427,0.000555,0.000368,0.000932,0.000589,0.000733,0.000705,0.044792,384
minus_repair_memory,forgets repaired mechanisms,6,0.776042,0.705680,0.105230,0.119134,0.053511,0.194424,0.045290,0.145353,0.050794,0.091642,0.043831,0.625688,0.041753,0.001825,0.001315,0.000943,0.000414,0.000547,0.000375,0.000977,0.000603,0.000770,0.000704,0.041743,384
minus_repair_memory,forgets repaired mechanisms,7,0.770833,0.705880,0.104453,0.118686,0.053151,0.194877,0.045106,0.145113,0.050818,0.091888,0.043769,0.621985,0.042093,0.001999,0.001310,0.000982,0.000421,0.000533,0.000389,0.000932,0.000613,0.000793,0.000737,0.042207,384
minus_repair_memory,forgets repaired mechanisms,8,0.786458,0.706224,0.104402,0.118843,0.053229,0.194777,0.045240,0.144874,0.051008,0.091917,0.043811,0.637454,0.041043,0.001863,0.001317,0.001002,0.000431,0.000515,0.000399,0.000944,0.000603,0.000749,0.000699,0.041237,384
minus_repair_memory,forgets repaired mechanisms,9,0.757812,0.705456,0.104695,0.119100,0.053182,0.194495,0.045445,0.144976,0.050898,0.092045,0.043921,0.608151,0.042906,0.001969,0.001260,0.000939,0.000418,0.000536,0.000378,0.000968,0.000640,0.000789,0.000747,0.043014,384
scalar_risk_only_audit,keeps scalar risk only,0,0.723958,0.575392,0.161491,0.109370,0.053196,0.194466,0.045500,0.150351,0.050965,0.092047,0.043823,0.484257,0.044771,0.002484,0.001304,0.000972,0.000439,0.000548,0.000377,0.000929,0.000645,0.000810,0.000759,0.045329,384
