ablation,interpretation,seed,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
full_counterfactual_mechanism_audit,all v5 components,0,0.802083,0.705117,0.104792,0.095207,0.053174,0.194534,0.045537,0.145208,0.051089,0.092263,0.044330,0.670632,0.039903,0.002052,0.001288,0.000953,0.000423,0.000571,0.000351,0.000915,0.000628,0.000775,0.000730,0.040117,384
full_counterfactual_mechanism_audit,all v5 components,1,0.778646,0.704198,0.104565,0.094784,0.053321,0.194453,0.045491,0.144598,0.050656,0.091586,0.043279,0.647715,0.041579,0.001851,0.001290,0.000983,0.000429,0.000552,0.000393,0.000972,0.000619,0.000762,0.000710,0.041706,384
full_counterfactual_mechanism_audit,all v5 components,2,0.817708,0.705524,0.104572,0.094985,0.053316,0.194451,0.045487,0.144722,0.050733,0.091762,0.043754,0.686998,0.038667,0.001941,0.001280,0.000971,0.000426,0.000571,0.000387,0.000928,0.000621,0.000764,0.000717,0.039045,384
full_counterfactual_mechanism_audit,all v5 components,3,0.809896,0.704993,0.104827,0.094890,0.053187,0.194585,0.045263,0.145294,0.051062,0.091906,0.043970,0.678736,0.039298,0.001975,0.001314,0.000946,0.000426,0.000543,0.000382,0.000954,0.000598,0.000757,0.000705,0.039373,384
full_counterfactual_mechanism_audit,all v5 components,4,0.812500,0.706242,0.104845,0.095181,0.053048,0.194662,0.045116,0.145409,0.051068,0.092175,0.043957,0.681697,0.039090,0.001938,0.001327,0.000974,0.000454,0.000554,0.000378,0.000935,0.000648,0.000808,0.000742,0.039008,384
full_counterfactual_mechanism_audit,all v5 components,5,0.838542,0.705305,0.105146,0.094616,0.053398,0.194954,0.045458,0.145202,0.051051,0.092274,0.044141,0.706996,0.036851,0.002001,0.001310,0.000958,0.000435,0.000570,0.000368,0.000934,0.000614,0.000796,0.000723,0.037080,384
full_counterfactual_mechanism_audit,all v5 components,6,0.796875,0.705244,0.104319,0.095587,0.053205,0.194325,0.045436,0.145097,0.050583,0.091516,0.043431,0.666036,0.040293,0.001987,0.001306,0.000974,0.000423,0.000568,0.000374,0.000939,0.000611,0.000769,0.000707,0.040903,384
full_counterfactual_mechanism_audit,all v5 components,7,0.804688,0.706275,0.105054,0.094258,0.053080,0.194964,0.045189,0.145164,0.050506,0.091574,0.043198,0.674669,0.039704,0.001952,0.001291,0.000920,0.000431,0.000570,0.000379,0.000972,0.000625,0.000758,0.000753,0.039748,384
full_counterfactual_mechanism_audit,all v5 components,8,0.796875,0.704852,0.104884,0.094657,0.053243,0.194682,0.045392,0.144854,0.051026,0.091837,0.043868,0.665751,0.040293,0.001936,0.001309,0.000983,0.000426,0.000593,0.000397,0.000947,0.000622,0.000781,0.000724,0.040529,384
full_counterfactual_mechanism_audit,all v5 components,9,0.812500,0.706410,0.105040,0.094925,0.053429,0.194296,0.045223,0.144978,0.051213,0.092288,0.044025,0.681419,0.039090,0.001897,0.001337,0.000958,0.000415,0.000543,0.000341,0.000932,0.000622,0.000766,0.000705,0.039316,384
